player,sleeper_id,pos,team,bye,proj_pts,vorp,tier,cliff_flag,pos_rank,value_rank,ecr,adp,adp_delta,proj_source,avail_status,exp_games,rookie_flag,backs_up,starter_exp_games,starter_avail,wopr,tprr,yprr,hv_touches,routes_proxy
Dallas Goedert,5022,TE,PHI,10,121.2,-8.5,2,false,16,172,122.31,111.9,-60.1,blend,,12.0,false,,,,0.418,0.18,1.3,9,true
Antonio Williams,13301,WR,WAS,7,109.2,-8.8,5,false,69,173,219.38,170.2,-2.8,market_implied,,16.0,true,,,,,,,,
Will Reichard,11792,K,MIN,6,123.0,-9.0,1,false,18,174,254.75,160.5,-13.5,market_implied,,16.0,false,,,,,,,,
Dallas Cowboys,DAL,DEF,DAL,14,103.0,-10.0,1,false,17,175,253.31,166.2,-8.8,market_implied,,16.0,false,,,,,,,,
Emmett Johnson,13337,RB,KCC,5,111.2,-10.2,6,false,44,176,198.0,170.0,-6.0,market_implied,,16.0,true,Kenneth Walker III,13.333333333333334,,,,,,
Nick Folk,650,K,ATL,11,121.5,-10.5,1,false,19,177,259.13,172.8,-4.2,market_implied,,16.0,false,,,,,,,,
Jordan Love,6804,QB,GBP,11,226.6,-10.6,5,false,13,178,119.28,144.1,-33.9,blend,,14.7,false,,,,0.0,0.0,0.0,3,true
Zachariah Branch,13320,WR,ATL,11,107.2,-10.8,5,false,70,179,229.71,,,market_implied,,16.0,true,,,,,,,,
Chig Okonkwo,8210,TE,WAS,7,118.5,-11.2,2,false,17,180,153.41,161.0,-19.0,blend,,15.7,false,,,,0.286,0.183,1.3,3,true
Mark Andrews,5012,TE,BAL,13,118.3,-11.5,2,false,18,181,127.48,127.9,-53.1,blend,,13.7,false,,,,0.37,0.211,1.27,12,true
Tyjae Spears,9508,RB,TEN,9,109.6,-11.7,6,false,45,182,145.85,133.8,-48.2,blend,,13.0,false,Tony Pollard,15.666666666666666,,0.15,0.206,1.09,8,true
Dalton Kincaid,10236,TE,BUF,7,117.8,-11.9,2,false,19,183,114.64,151.6,-31.4,blend,,12.7,false,,,,0.369,0.291,3.4,5,true
Trey Smack,13545,K,GBP,11,120.0,-12.0,1,false,20,184,262.63,157.0,-27.0,market_implied,,16.0,false,,,,,,,,
Cincinnati Bengals,CIN,DEF,CIN,6,101.0,-12.0,1,false,18,185,258.6,172.2,-12.8,market_implied,,16.0,false,,,,,,,,
