player,sleeper_id,pos,team,bye,proj_pts,vorp,tier,cliff_flag,pos_rank,value_rank,ecr,adp,adp_delta,proj_source,avail_status,exp_games,rookie_flag,backs_up,starter_exp_games,starter_avail,wopr,tprr,yprr,hv_touches,routes_proxy
Bijan Robinson,9509,RB,ATL,11,319.1,197.8,1,true,1,1,3.5,1.7,0.7,blend,,16.0,false,,,,0.311,0.212,1.69,22,true
Jahmyr Gibbs,9221,RB,DET,6,305.0,183.6,2,true,2,2,3.01,1.8,-0.2,blend,,15.3,false,,,,0.253,0.215,1.41,26,true
Jaxon Smith-Njigba,9488,WR,SEA,11,284.6,166.5,1,false,1,3,4.69,5.4,2.4,blend,,16.0,false,,,,0.904,0.377,4.15,7,true
Ja'Marr Chase,7564,WR,CIN,6,276.4,158.3,2,false,2,4,1.67,3.9,-0.1,blend,,15.3,false,,,,0.737,0.285,2.17,8,true
Amon-Ra St. Brown,7547,WR,DET,6,265.6,147.6,3,true,3,5,5.64,6.3,1.3,blend,,15.7,false,,,,0.746,0.309,2.51,21,true
Christian McCaffrey,4034,RB,SFO,8,256.0,134.7,3,true,3,6,9.29,6.5,0.5,blend,,12.0,false,,,,0.405,0.234,1.68,50,true
Puka Nacua,9493,WR,LAR,11,248.3,130.2,4,true,4,7,3.21,3.0,-4.0,blend,compromised,13.7,false,,,,0.675,0.386,3.99,11,true
James Cook III,8138,RB,BUF,7,235.3,114.0,4,false,4,8,18.3,12.5,4.5,blend,,15.7,false,,,,0.127,0.112,0.82,27,true
Trey McBride,8130,TE,ARI,14,243.0,113.2,1,true,1,9,19.47,29.0,20.0,blend,,15.7,false,,,,0.59,0.235,1.72,12,true
Ashton Jeanty,12527,RB,LVR,13,228.0,106.6,4,false,5,10,17.07,15.3,5.3,blend,,16.0,false,,,,0.181,0.149,0.7,20,true
Jonathan Taylor,6813,RB,IND,13,224.7,103.3,4,false,6,11,11.77,7.4,-3.6,blend,,12.7,false,,,,0.157,0.104,0.72,42,true
De'Von Achane,9226,RB,MIA,6,220.5,99.2,4,false,7,12,20.88,10.2,-1.8,blend,,13.7,false,,,,0.289,0.216,1.24,16,true
Derrick Henry,3198,RB,BAL,13,220.5,99.1,4,true,8,13,37.78,17.6,4.6,blend,,16.0,false,,,,0.075,0.072,0.51,40,true
George Pickens,8137,WR,DAL,14,207.4,89.3,5,false,5,14,19.88,19.4,5.4,blend,,15.0,false,,,,0.563,0.228,2.38,11,true
Drake London,8112,WR,ATL,11,206.5,88.5,5,false,6,15,12.35,10.0,-5.0,blend,,14.0,false,,,,0.727,0.279,2.29,9,true
Chase Brown,9224,RB,CIN,6,205.9,84.5,5,false,9,16,17.85,13.5,-2.5,blend,,13.3,false,,,,0.224,0.181,0.9,26,true
Jeremiyah Love,13287,RB,ARI,14,205.3,84.0,5,false,10,17,38.13,28.9,11.9,market_implied,compromised,16.0,true,,,,,,,,
Zay Flowers,9997,WR,BAL,13,201.4,83.4,5,false,7,18,29.37,24.5,6.5,blend,,15.7,false,,,,0.701,0.255,2.62,6,true
CeeDee Lamb,6786,WR,DAL,14,200.4,82.4,5,false,8,19,8.7,10.6,-8.4,blend,,14.0,false,,,,0.611,0.258,2.37,7,true
Saquon Barkley,4866,RB,PHI,10,202.3,81.0,5,false,11,20,25.94,20.2,0.2,blend,,14.3,false,,,,0.176,0.112,0.61,29,true
Javonte Williams,7588,RB,DAL,14,202.0,80.6,5,false,12,21,45.66,37.4,16.4,blend,,15.3,false,,,,0.119,0.107,0.29,33,true
Tetairoa McMillan,12526,WR,CAR,5,195.7,77.6,5,false,9,22,33.7,33.3,11.3,blend,,16.0,false,,,,0.708,0.225,1.87,6,true
Travis Etienne Jr.,7543,RB,NOS,8,198.1,76.7,5,false,13,23,50.99,41.8,18.8,blend,,15.3,false,,,,0.135,0.125,0.7,32,true
Josh Allen,4984,QB,BUF,7,313.1,76.0,1,true,1,24,25.86,33.1,9.1,blend,,15.3,false,,,,0.0,0.0,0.0,22,true
A.J. Brown,5859,WR,NEP,11,191.2,73.1,5,false,10,25,14.71,17.9,-7.1,blend,,14.0,false,,,,0.678,0.248,2.06,5,true
Justin Jefferson,6794,WR,MIN,6,190.0,71.9,5,false,11,26,9.58,11.7,-14.3,blend,,13.7,false,,,,0.741,0.246,1.83,11,true
Josh Jacobs,5850,RB,GBP,11,188.6,67.2,6,false,14,27,44.17,31.4,4.4,blend,,14.0,false,,,,0.124,0.142,0.91,32,true
Kyren Williams,8150,RB,LAR,11,188.3,66.9,6,false,15,28,41.87,31.5,3.5,blend,,14.0,false,,,,0.136,0.11,0.62,33,true
Davante Adams,2133,WR,LAR,11,183.7,65.7,5,false,12,29,50.67,41.4,12.4,blend,,14.0,false,,,,0.627,0.304,2.1,23,true
Emeka Egbuka,12514,WR,TBB,10,182.6,64.6,5,false,13,30,37.67,37.1,7.1,blend,compromised,16.0,false,,,,0.601,0.237,1.75,6,true
D'Andre Swift,6790,RB,CHI,10,185.9,64.5,6,false,16,31,59.55,46.0,15.0,blend,,15.3,false,,,,0.135,0.132,0.82,24,true
Breece Hall,8155,RB,NYJ,13,182.3,61.0,6,false,17,32,40.83,32.1,0.1,blend,compromised,15.3,false,,,,0.154,0.123,0.9,13,true
Nico Collins,7569,WR,HOU,8,177.4,59.4,5,false,14,33,16.37,21.4,-11.6,blend,,13.0,false,,,,0.609,0.257,2.39,11,true
TreVeyon Henderson,12529,RB,NEP,11,180.4,59.1,6,false,18,34,64.21,60.4,26.4,blend,,16.0,false,,,,0.126,0.139,0.73,24,true
Brock Bowers,11604,TE,LVR,13,188.0,58.2,2,false,2,35,20.44,35.9,0.9,blend,,13.5,false,,,,0.526,0.223,1.76,10,true
Rashee Rice,10229,WR,KCC,5,173.4,55.3,5,false,15,36,22.15,14.8,-21.2,blend,,12.0,false,,,,0.531,0.286,2.09,18,true
Chris Olave,8144,WR,NOS,8,172.3,54.2,5,false,16,37,20.57,21.0,-16.0,blend,,12.3,false,,,,0.725,0.279,2.08,4,true
DeVonta Smith,7525,WR,PHI,10,171.5,53.4,5,false,17,38,23.99,29.0,-9.0,blend,,14.3,false,,,,0.594,0.22,1.96,4,true
Tyler Warren,12518,TE,IND,13,181.2,51.4,2,false,3,39,53.48,64.5,25.5,blend,,16.0,false,,,,0.425,0.208,1.52,17,true
Jaylen Warren,8228,RB,PIT,9,172.0,50.7,6,false,19,40,75.93,60.8,20.8,blend,,15.0,false,,,,0.112,0.151,1.12,26,true
RJ Harvey,12489,RB,DEN,10,171.1,49.7,6,false,20,41,92.56,83.3,42.3,blend,,16.0,false,,,,0.146,0.192,1.18,21,true
Wan'Dale Robinson,8126,WR,TEN,9,167.1,49.1,5,false,18,42,87.71,85.9,43.9,blend,,15.0,false,,,,0.653,0.248,1.79,6,true
Garrett Wilson,8146,WR,NYJ,13,165.9,47.8,5,false,19,43,30.29,26.3,-16.7,blend,,12.7,false,,,,0.925,0.254,1.7,2,true
Ladd McConkey,11635,WR,LAC,7,165.7,47.7,5,false,20,44,35.74,37.7,-6.3,blend,,15.0,false,,,,0.499,0.201,1.49,6,true
Courtland Sutton,5045,WR,DEN,10,164.4,46.3,5,false,21,45,85.42,61.0,16.0,blend,,15.3,false,,,,0.557,0.203,1.66,8,true
Kyle Pitts Sr.,7553,TE,ATL,11,175.8,46.0,2,false,4,46,82.88,76.4,30.4,blend,,16.0,false,,,,0.492,0.217,1.71,7,true
Jaylen Waddle,7526,WR,DEN,10,163.8,45.7,5,false,22,47,38.17,45.7,-1.3,blend,,14.0,false,,,,0.648,0.245,2.23,5,true
Jadarian Price,13286,RB,SEA,11,166.1,44.8,6,false,21,48,75.71,82.1,34.1,market_implied,,16.0,true,,,,,,,,
Omarion Hampton,12507,RB,LAC,7,165.6,44.2,6,false,22,49,25.64,22.3,-26.7,blend,,12.0,false,,,,0.156,0.145,0.79,16,true
Carnell Tate,13279,WR,TEN,9,162.1,44.0,5,false,23,50,65.44,74.2,24.2,market_implied,,16.0,true,,,,,,,,
Caleb Williams,11560,QB,CHI,10,279.8,42.7,2,true,2,51,68.07,88.1,37.1,blend,,16.0,false,,,,0.005,0.003,0.03,8,true
Rico Dowdle,7021,RB,PIT,9,162.2,40.9,6,false,23,52,88.55,75.9,23.9,blend,,15.3,false,Jaylen Warren,15.0,,0.143,0.144,0.86,15,true
DJ Moore,4983,WR,BUF,7,157.9,39.9,5,false,24,53,52.14,49.9,-3.1,blend,,16.0,false,,,,0.381,0.148,1.19,7,true
Michael Pittman Jr.,6819,WR,PIT,9,156.1,38.0,5,false,25,54,83.42,74.4,20.4,blend,compromised,15.3,false,,,,0.457,0.202,1.43,10,true
Bhayshul Tuten,12490,RB,JAC,7,159.0,37.7,6,false,24,55,70.03,53.8,-1.2,override,,14.0,false,,,,0.046,0.108,0.61,10,true
DK Metcalf,5846,WR,PIT,9,155.5,37.4,5,false,26,56,78.2,64.7,8.7,blend,,14.3,false,,,,0.596,0.21,1.8,8,true
Colston Loveland,12517,TE,CHI,10,165.6,35.8,2,false,5,57,37.97,56.7,-0.3,blend,,15.0,false,,,,0.363,0.199,1.73,8,true
Alec Pierce,8142,WR,IND,13,153.6,35.5,5,false,27,58,91.0,59.3,1.3,blend,compromised,15.0,false,,,,0.548,0.173,2.06,4,true
Cam Skattebo,12481,RB,NYG,8,155.1,33.8,6,false,25,59,54.84,35.0,-24.0,blend,,12.0,false,,,,0.189,0.187,1.21,14,true
Tony Pollard,5967,RB,TEN,9,154.0,32.7,6,false,26,60,81.52,67.3,7.3,blend,,15.7,false,,,,0.114,0.096,0.48,12,true
Terry McLaurin,5927,WR,WAS,7,150.5,32.5,5,false,28,61,44.65,46.5,-14.5,blend,,13.7,false,,,,0.608,0.239,2.32,3,true
Kenneth Walker III,8151,RB,KCC,5,153.1,31.8,6,false,27,62,29.29,22.6,-39.4,blend,,13.3,false,,,,0.109,0.139,1.09,11,true
Jameson Williams,8148,WR,DET,6,149.3,31.2,5,false,29,63,56.01,43.7,-19.3,blend,,13.7,false,,,,0.503,0.173,1.9,5,true
Bo Nix,11563,QB,DEN,10,268.1,30.9,3,false,3,64,101.34,114.7,50.7,blend,,16.0,false,,,,0.003,0.001,0.0,6,true
Rome Odunze,11620,WR,CHI,10,148.9,30.9,5,false,30,65,59.12,49.1,-15.9,blend,,13.5,false,,,,0.602,0.209,1.53,6,true
Michael Wilson,10232,WR,ARI,14,148.5,30.5,5,false,31,66,90.53,76.7,10.7,blend,,14.3,false,,,,0.507,0.196,1.56,5,true
Malik Nabers,11632,WR,NYG,8,148.5,30.4,5,false,32,67,28.55,27.2,-39.8,blend,compromised,12.0,false,,,,0.713,0.279,2.16,3,true
Harold Fannin Jr.,12506,TE,CLE,11,159.9,30.1,2,false,6,68,76.95,79.0,11.0,blend,,15.0,false,,,,0.458,0.218,1.49,5,true
Matthew Stafford,421,QB,LAR,11,266.7,29.5,3,false,4,69,104.67,77.8,8.8,blend,,15.0,false,,,,0.0,0.0,0.0,4,true
Jalen Hurts,6904,QB,PHI,10,265.3,28.1,3,false,5,70,56.94,80.4,10.4,blend,,15.0,false,,,,0.0,0.0,0.0,15,true
Jakobi Meyers,5947,WR,JAC,7,144.7,26.7,5,false,33,71,102.19,88.6,17.6,blend,,14.7,false,,,,0.541,0.21,1.59,7,true
Quentin Johnston,9754,WR,LAC,7,143.9,25.8,5,false,34,72,102.53,92.4,20.4,blend,,14.0,false,,,,0.496,0.184,1.61,7,true
Jared Goff,3163,QB,DET,6,262.8,25.6,3,false,6,73,106.71,100.7,27.7,blend,,16.0,false,,,,0.0,0.0,0.0,2,true
Jonathon Brooks,11583,RB,CAR,5,146.7,25.4,6,false,28,74,106.31,106.4,32.4,market_implied,,16.0,true,,,,,,,,
Tee Higgins,6801,WR,CIN,6,143.4,25.3,5,false,35,75,34.77,35.9,-39.1,blend,,12.0,false,,,,0.505,0.193,1.67,8,true
Makai Lemon,13294,WR,PHI,10,142.9,24.9,5,false,36,76,101.45,114.5,38.5,market_implied,compromised,16.0,true,,,,,,,,
David Montgomery,5892,RB,HOU,8,145.9,24.6,6,false,29,77,61.73,57.9,-19.1,blend,,14.0,false,,,,0.083,0.12,0.79,25,true
Quinshon Judkins,12512,RB,CLE,11,145.6,24.3,6,false,30,78,60.99,51.8,-26.2,blend,compromised,13.0,false,,,,0.119,0.128,0.61,19,true
Kyle Monangai,12534,RB,CHI,10,145.4,24.1,6,false,31,79,106.05,113.6,34.6,blend,compromised,16.0,false,D'Andre Swift,15.333333333333334,,0.086,0.107,0.58,22,true
Brian Thomas Jr.,11631,WR,JAC,7,141.7,23.6,5,false,37,80,77.84,71.4,-8.6,blend,,14.5,false,,,,0.511,0.204,1.59,6,true
Travis Kelce,1466,TE,KCC,5,153.2,23.4,2,false,7,81,98.69,109.0,28.0,blend,,15.0,false,,,,0.427,0.182,1.44,9,true
Houston Texans,HOU,DEF,HOU,8,135.0,22.0,1,false,1,82,153.12,96.7,14.7,market_implied,,16.0,false,,,,,,,,
Rhamondre Stevenson,7611,RB,NEP,11,143.2,21.9,6,false,32,83,81.99,70.5,-12.5,blend,,12.7,false,TreVeyon Henderson,16.0,,0.181,0.115,1.07,18,true
Denver Broncos,DEN,DEF,DEN,10,133.0,20.0,1,false,2,84,163.58,87.8,3.8,market_implied,,16.0,false,,,,,,,,
Drake Maye,11564,QB,NEP,11,256.8,19.7,3,false,7,85,39.19,50.8,-34.2,blend,,13.5,false,,,,0.001,0.002,0.0,15,true
Bucky Irving,11584,RB,TBB,10,140.1,18.7,6,false,33,86,57.86,45.9,-40.1,blend,,12.5,false,,,,0.146,0.137,1.09,7,true
Seattle Seahawks,SEA,DEF,SEA,11,131.0,18.0,1,false,3,87,167.38,83.4,-3.6,market_implied,,16.0,false,,,,,,,,
Marvin Harrison Jr.,11628,WR,ARI,14,136.0,18.0,5,false,38,88,69.8,66.1,-21.9,blend,,13.5,false,,,,0.502,0.185,1.54,6,true
Troy Franklin,11627,WR,DEN,10,135.9,17.9,5,false,39,89,202.09,,,blend,,15.5,false,,,,0.469,0.248,1.69,11,true
Dominic Zvada,13833,K,,8,148.5,16.5,1,false,1,90,,192.4,102.4,market_implied,,16.0,false,,,,,,,,
Patrick Mahomes II,4046,QB,KCC,5,253.7,16.5,3,false,8,91,101.13,101.0,10.0,blend,,14.3,false,,,,0.002,0.002,-0.02,5,true
Los Angeles Rams,LAR,DEF,LAR,11,129.0,16.0,1,false,4,92,168.2,107.3,15.3,market_implied,,16.0,false,,,,,,,,
Deebo Samuel Sr.,5872,WR,SFO,8,133.8,15.8,5,false,40,93,142.01,113.1,20.1,blend,,14.0,false,,,,0.475,0.239,1.76,10,true
Tyrone Tracy Jr.,11655,RB,NYG,8,137.1,15.7,6,false,34,94,132.07,148.0,54.0,blend,,15.0,false,Cam Skattebo,12.0,,0.163,0.151,0.9,7,true
Ka'imi Fairbairn,3451,K,HOU,8,147.0,15.0,1,false,2,95,192.61,141.9,46.9,market_implied,,16.0,false,,,,,,,,
Baker Mayfield,4892,QB,TBB,10,252.0,14.8,3,false,9,96,117.48,129.7,33.7,blend,,16.0,false,,,,0.0,0.0,0.0,1,true
Romeo Doubs,8121,WR,NEP,11,132.8,14.7,5,false,41,97,129.36,112.1,15.1,blend,,14.3,false,,,,0.479,0.195,1.66,9,true
Jordan Addison,9756,WR,MIN,6,132.2,14.1,5,false,42,98,108.59,98.5,0.5,blend,,14.3,false,,,,0.504,0.181,1.4,5,true
Christian Watson,8167,WR,GBP,11,132.1,14.0,5,false,43,99,56.57,58.4,-40.6,blend,,12.0,false,,,,0.548,0.236,2.62,4,true
Philadelphia Eagles,PHI,DEF,PHI,10,127.0,14.0,1,false,5,100,174.89,135.8,35.8,market_implied,,16.0,false,,,,,,,,
KC Concepcion,13298,WR,CLE,11,131.6,13.5,5,false,44,101,131.55,122.1,21.1,market_implied,,16.0,true,,,,,,,,
Jake Ferguson,8110,TE,DAL,14,143.3,13.5,2,false,8,102,113.4,133.6,31.6,blend,,15.0,false,,,,0.31,0.209,1.23,14,true
Cameron Dicker,8259,K,LAC,7,145.5,13.5,1,false,3,103,196.04,143.1,40.1,market_implied,,16.0,false,,,,,,,,
Jacory Croskey-Merritt,12533,RB,WAS,7,134.3,13.0,6,false,35,104,119.51,118.1,14.1,blend,,16.0,false,,,,0.041,0.055,0.29,21,true
Jayden Reed,10222,WR,GBP,11,131.0,12.9,5,false,45,105,109.66,94.0,-11.0,override,,12.0,false,,,,0.344,0.233,2.2,0,true
Lamar Jackson,4881,QB,BAL,13,249.3,12.1,3,false,10,106,32.31,57.0,-49.0,blend,,14.3,false,,,,0.0,0.0,0.0,5,true
Khalil Shakir,8134,WR,BUF,7,130.1,12.0,5,false,46,107,120.35,101.5,-5.5,blend,compromised,14.7,false,,,,0.377,0.269,2.03,6,true
Cam Little,11786,K,JAC,7,144.0,12.0,1,false,4,108,199.01,154.4,46.4,market_implied,,16.0,false,,,,,,,,
New England Patriots,NE,DEF,NEP,11,125.0,12.0,1,false,6,109,185.43,127.1,18.1,market_implied,,16.0,false,,,,,,,,
Chuba Hubbard,7594,RB,CAR,5,132.8,11.4,6,false,36,110,86.83,74.9,-35.1,blend,compromised,14.7,false,Jonathon Brooks,16.0,,0.108,0.154,0.88,12,true
Woody Marks,12474,RB,HOU,8,132.4,11.0,6,false,37,111,140.38,148.3,37.3,blend,,15.0,false,David Montgomery,14.0,,0.115,0.105,0.61,18,true
George Kittle,4217,TE,SFO,8,140.8,11.0,2,false,9,112,105.31,117.5,5.5,blend,compromised,13.0,false,,,,0.451,0.211,1.92,5,true
Mike Evans,2216,WR,SFO,8,128.9,10.9,5,false,47,113,54.06,52.4,-60.6,blend,,12.0,false,,,,0.609,0.287,1.7,5,true
Josh Downs,9500,WR,IND,13,128.7,10.7,5,false,48,114,85.44,81.8,-32.2,blend,,14.7,false,,,,0.379,0.248,1.59,5,true
Jason Myers,2747,K,SEA,11,142.5,10.5,1,false,5,115,200.84,141.0,26.0,market_implied,,16.0,false,,,,,,,,
Stefon Diggs,2449,WR,WAS,7,128.4,10.4,5,false,49,116,111.6,91.8,-24.2,blend,,13.0,false,,,,0.469,0.288,2.86,7,true
Minnesota Vikings,MIN,DEF,MIN,6,123.0,10.0,1,false,7,117,186.26,110.1,-6.9,market_implied,,16.0,false,,,,,,,,
Justin Herbert,6797,QB,LAC,7,247.1,10.0,3,false,11,118,70.0,106.4,-11.6,blend,,14.3,false,,,,0.0,0.0,0.0,7,true
Rachaad White,8136,RB,WAS,7,131.1,9.7,6,false,38,119,108.98,108.1,-10.9,blend,,15.3,false,Jacory Croskey-Merritt,16.0,,0.105,0.13,0.63,11,true
Jerry Jeudy,6783,WR,CLE,11,127.4,9.3,5,false,50,120,160.55,128.1,8.1,blend,,15.7,false,,,,0.555,0.185,1.05,3,true
Eddy Pineiro,5189,K,SFO,8,141.0,9.0,1,false,6,121,208.48,164.0,43.0,market_implied,,16.0,false,,,,,,,,
Pittsburgh Steelers,PIT,DEF,PIT,9,121.0,8.0,1,false,8,122,187.06,132.4,10.4,market_implied,,16.0,false,,,,,,,,
Tyler Loop,12711,K,BAL,13,139.5,7.5,1,false,7,123,208.78,154.6,31.6,market_implied,,16.0,false,,,,,,,,
Parker Washington,9487,WR,JAC,7,125.2,7.1,5,false,51,124,69.78,64.8,-59.2,blend,,12.0,false,,,,0.469,0.235,2.1,7,true
Luther Burden III,12519,WR,CHI,10,124.4,6.3,5,false,52,125,46.29,59.9,-65.1,blend,compromised,14.0,false,,,,0.271,0.254,2.76,0,true
Tre Tucker,10213,WR,LVR,13,124.3,6.2,5,false,53,126,172.63,133.5,7.5,blend,,14.7,false,,,,0.469,0.153,1.16,5,true
Evan McPherson,7839,K,CIN,6,138.0,6.0,1,false,8,127,213.91,169.4,42.4,market_implied,,16.0,false,,,,,,,,
Jacksonville Jaguars,JAX,DEF,JAC,7,119.0,6.0,1,false,9,128,188.66,156.5,28.5,market_implied,,16.0,false,,,,,,,,
Matthew Golden,12501,WR,GBP,11,124.0,5.9,5,false,54,129,131.5,109.4,-19.6,override,,13.0,false,,,,0.322,0.174,1.43,0,true
Denzel Boston,13346,WR,CLE,11,123.8,5.7,5,false,55,130,157.29,142.4,12.4,market_implied,,16.0,true,,,,,,,,
