player,sleeper_id,pos,team,bye,proj_pts,vorp,vorp_flex,tier,cliff_flag,pos_rank,value_rank,ecr,adp,adp_delta,proj_source,avail_status,exp_games,rookie_flag,backs_up,starter_exp_games,starter_avail,wopr,tprr,yprr,hv_touches,routes_proxy,upside_flag,upside_why,alpha_used,proj_as_of,n_sources,proj_sd,proj_hi,proj_lo,proj_band,non_starter,contingent_of,backs_up_pos,starter_fragility,starter_fragility_label,yahoo_rank,proj_td
CeeDee Lamb,6786,WR,DAL,14,195.0,51.2,36.9286989901961,3,false,6,18,9.03,11.0,-7.0,fantasypros_sheet_headline,,14.0,false,,,,0.611,0.258,2.37,7,true,false,,0.0,2026-09-04,1,0.0,212.8,170.7,17.2,false,,,,"",12.0,7.5
Drake London,8112,WR,ATL,11,190.4,46.5,32.26240554901966,3,false,7,19,13.17,20.1,1.1,fantasypros_sheet_headline,,14.0,false,,,,0.727,0.279,2.29,9,true,false,,0.0,2026-09-04,1,0.0,200.6,181.4,7.9,false,,,,"",20.0,8.0
A.J. Brown,5859,WR,NEP,11,188.5,44.6,30.338253000000066,3,false,8,20,13.73,24.0,4.0,fantasypros_sheet_headline,,14.0,false,,,,0.678,0.248,2.06,5,true,false,,0.0,2026-09-04,1,0.0,205.8,176.4,12.1,false,,,,"",23.0,7.7
Kenneth Walker III,8151,RB,KCC,5,201.9,43.8,43.78223396078437,4,false,10,21,24.95,15.4,-5.6,fantasypros_sheet_headline,compromised,13.3,false,,,,0.109,0.139,1.09,11,true,false,,0.0,2026-09-04,1,0.0,213.4,185.2,11.6,false,,,,"",11.0,9.9
Chris Olave,8144,WR,NOS,8,184.3,40.5,26.219321941176503,3,false,9,22,17.37,31.3,9.3,fantasypros_sheet_headline,,12.3,false,,,,0.725,0.279,2.08,4,true,false,,0.0,2026-09-04,1,0.0,204.8,169.6,14.4,false,,,,"",24.0,8.2
George Pickens,8137,WR,DAL,14,183.7,39.8,25.55229321568629,3,false,10,23,20.43,22.5,-0.5,fantasypros_sheet_headline,,15.0,false,,,,0.563,0.228,2.38,11,true,false,,0.0,2026-09-04,1,0.0,213.4,163.2,20.6,false,,CeeDee Lamb,0.32,low,22.0,8.4
Nico Collins,7569,WR,HOU,8,182.9,39.1,24.813111921568634,3,false,11,24,16.0,21.6,-2.4,fantasypros_sheet_headline,,13.0,false,,,,0.609,0.257,2.39,11,true,false,,0.0,2026-09-04,1,0.0,199.1,171.9,11.2,false,,,,"",18.0,8.0
Ashton Jeanty,12527,RB,LVR,13,196.0,37.9,37.91462206070591,4,false,11,25,28.95,17.7,-7.3,fantasypros_sheet_headline,compromised,16.0,false,,,,0.181,0.149,0.7,20,true,false,,0.0,2026-09-04,1,0.0,228.3,163.9,26.3,false,,,,"",21.0,10.3
Omarion Hampton,12507,RB,LAC,7,195.4,37.3,37.255204392156855,4,false,12,26,25.4,18.2,-7.8,fantasypros_sheet_headline,,12.0,false,,,,0.156,0.145,0.79,16,true,false,,0.0,2026-09-04,1,0.0,209.2,174.7,14.2,false,,,,"",16.0,11.4
Rashee Rice,10229,WR,KCC,5,180.8,37.0,22.68909229411767,3,false,12,27,27.1,35.6,8.6,fantasypros_sheet_headline,,12.0,false,,,,0.531,0.286,2.09,18,true,false,,0.0,2026-09-04,1,0.0,209.5,157.2,21.4,false,,,,"",39.0,10.5
Jeremiyah Love,13287,RB,ARI,14,191.6,33.5,33.47337572925494,4,false,13,28,40.1,29.7,1.7,fantasypros_sheet_headline,compromised,16.0,true,,,,,,,,,true,rookie w/ market-backed capital,0.0,2026-09-04,1,0.0,208.9,171.2,15.4,false,,,,"",28.0,9.0
Colston Loveland,12517,TE,CHI,10,152.3,32.7,-5.783282137254901,2,true,3,29,36.28,39.2,10.2,fantasypros_sheet_headline,,15.0,false,,,,0.363,0.199,1.73,8,true,false,,0.0,2026-09-04,1,0.0,171.2,138.4,13.4,false,,,,"",38.0,6.7
Malik Nabers,11632,WR,NYG,8,174.9,31.1,16.804954215686337,3,false,13,30,24.25,30.4,0.4,fantasypros_sheet_headline,compromised,12.0,false,,,,0.713,0.279,2.16,3,true,false,,0.0,2026-09-04,1,0.0,196.7,160.7,14.8,false,,,,"",25.0,8.5
Javonte Williams,7588,RB,DAL,14,188.9,30.8,30.76373470588237,4,false,14,31,43.43,33.8,2.8,fantasypros_sheet_headline,,15.3,false,,,,0.119,0.107,0.29,33,true,false,,0.0,2026-09-04,1,0.0,202.2,172.7,12.1,false,,,,"",29.0,11.9
Kyren Williams,8150,RB,LAR,11,188.3,30.2,30.169207666666694,4,false,15,32,42.04,28.0,-4.0,fantasypros_sheet_headline,,14.0,false,,,,0.136,0.11,0.62,33,true,false,,0.0,2026-09-04,1,0.0,203.1,175.0,11.5,false,,,,"",27.0,11.9
Breece Hall,8155,RB,NYJ,13,187.2,29.1,29.08210609803922,4,false,16,33,39.52,34.6,1.6,fantasypros_sheet_headline,compromised,15.3,false,,,,0.154,0.123,0.9,13,true,false,,0.0,2026-09-04,1,0.0,207.1,165.6,16.9,false,,,,"",30.0,8.4
Zay Flowers,9997,WR,BAL,13,167.4,23.6,9.332601539215688,3,false,14,34,29.64,35.7,1.7,fantasypros_sheet_headline,compromised,15.7,false,,,,0.701,0.255,2.62,6,true,false,,0.0,2026-09-04,1,0.0,181.3,154.8,10.8,false,,,,"",32.0,7.0
Travis Etienne Jr.,7543,RB,NOS,8,181.3,23.2,23.182738941176524,4,false,17,35,45.04,42.0,7.0,fantasypros_sheet_headline,,15.3,false,,,,0.135,0.125,0.7,32,true,false,,0.0,2026-09-04,1,0.0,204.8,163.9,16.8,false,,,,"",40.0,8.4
DeVonta Smith,7525,WR,PHI,10,165.7,21.9,7.6209188137254955,3,false,15,36,22.72,29.5,-6.5,fantasypros_sheet_headline,,14.3,false,,,,0.594,0.22,1.96,4,true,false,,0.0,2026-09-04,1,0.0,169.3,161.9,3.0,false,,,,"",26.0,6.0
Tyler Warren,12518,TE,IND,13,140.8,21.1,-17.34991866666661,3,false,4,37,53.36,47.1,10.1,fantasypros_sheet_headline,,16.0,false,,,,0.425,0.208,1.52,17,true,false,,0.0,2026-09-04,1,0.0,148.8,131.7,7.0,false,,,,"",46.0,5.5
Lamar Jackson,4881,QB,BAL,13,286.8,19.9,19.872673568627476,2,false,2,38,31.84,38.6,0.6,fantasypros_sheet_headline,,14.3,false,,,,0.0,0.0,0.0,5,true,false,,0.0,2026-09-04,1,0.0,318.8,262.8,22.9,false,,,,"",53.0,31.5
Harold Fannin Jr.,12506,TE,CLE,11,138.7,19.1,-19.37246309803919,3,false,5,39,76.23,70.8,31.8,fantasypros_sheet_headline,,15.0,false,,,,0.458,0.218,1.49,5,true,false,,0.0,2026-09-04,1,0.0,162.3,119.8,17.4,false,,,,"",78.0,5.7
Houston Texans,HOU,DEF,HOU,8,135.0,18.0,18.0,1,false,1,40,153.67,97.2,57.2,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",150.0,
Jalen Hurts,6904,QB,PHI,10,284.3,17.4,17.399008847058838,2,false,3,41,57.19,56.8,15.8,fantasypros_sheet_headline,,15.0,false,,,,0.0,0.0,0.0,15,true,false,,0.0,2026-09-04,1,0.0,305.7,267.0,15.8,false,,,,"",63.0,32.6
Cam Skattebo,12481,RB,NYG,8,175.0,16.9,16.89404529411769,4,false,18,42,57.0,42.4,0.4,fantasypros_sheet_headline,,12.0,false,,,,0.189,0.187,1.21,14,true,true,RB receiving profile,0.0,2026-09-04,1,0.0,196.0,154.9,16.8,false,,,,"",48.0,10.1
D'Andre Swift,6790,RB,CHI,10,174.4,16.3,16.26239913725493,4,false,19,43,52.39,45.7,2.7,fantasypros_sheet_headline,,15.3,false,,,,0.135,0.132,0.82,24,true,false,,0.0,2026-09-04,1,0.0,189.4,158.6,12.6,false,,,,"",42.0,9.0
Denver Broncos,DEN,DEF,DEN,10,133.0,16.0,16.0,1,false,2,44,164.44,89.2,45.2,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",163.0,
Drake Maye,11564,QB,NEP,11,282.8,15.9,15.909567372549077,2,false,4,45,37.1,47.7,2.7,fantasypros_sheet_headline,,13.5,false,,,,0.001,0.002,0.0,15,true,false,,0.0,2026-09-04,1,0.0,294.9,265.2,12.2,false,,,,"",61.0,31.4
Garrett Wilson,8146,WR,NYJ,13,159.2,15.4,1.098784156862763,3,false,16,46,30.28,48.0,2.0,fantasypros_sheet_headline,,12.7,false,,,,0.925,0.254,1.7,2,true,false,,0.0,2026-09-04,1,0.0,181.3,137.5,17.9,false,,,,"",36.0,6.4
Jayden Daniels,11566,QB,WAS,7,282.2,15.2,15.246558525490173,2,false,5,47,56.6,55.2,8.2,fantasypros_sheet_headline,,12.0,false,,,,0.0,0.0,0.0,3,true,false,,0.0,2026-09-04,1,0.0,305.5,257.8,19.5,false,,,,"",67.0,28.5
Tee Higgins,6801,WR,CIN,6,158.1,14.3,0.008757333333363704,3,false,17,48,36.7,33.5,-14.5,fantasypros_sheet_headline,,12.0,false,,,,0.505,0.193,1.67,8,true,false,,0.0,2026-09-04,1,0.0,175.4,144.7,12.6,false,,Ja'Marr Chase,0.32,low,31.0,9.1
Los Angeles Rams,LAR,DEF,LAR,11,131.0,14.0,14.0,1,false,3,49,164.96,102.4,53.4,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",155.0,
Brandon Aubrey,11533,K,DAL,14,150.0,13.5,13.5,1,false,1,50,185.55,87.2,37.2,kdef_synthetic,,12.0,false,,,,0.0,,,0,true,false,,0.0,,0,,,,,false,,,,"",153.0,
Sam LaPorta,10859,TE,DET,6,132.9,13.3,-25.18831130392155,3,false,6,51,86.19,63.2,12.2,fantasypros_sheet_headline,compromised,13.0,false,,,,0.399,0.16,1.59,3,true,false,,0.0,2026-09-04,1,0.0,148.1,119.5,11.7,false,,,,"",70.0,5.5
Tetairoa McMillan,12526,WR,CAR,5,157.1,13.2,-1.0633043921568515,3,false,18,52,35.88,41.9,-10.1,fantasypros_sheet_headline,,16.0,false,,,,0.708,0.225,1.87,6,true,false,,0.0,2026-09-04,1,0.0,168.0,147.0,8.6,false,,,,"",37.0,6.6
Tucker Kraft,9484,TE,GBP,11,132.8,13.2,-25.295419647058793,3,false,7,53,78.75,60.4,7.4,fantasypros_sheet_headline,,12.0,false,,,,0.351,0.18,2.0,3,true,false,,0.0,2026-09-04,1,0.0,158.7,114.6,18.1,false,,,,"",66.0,6.4
Kyle Pitts Sr.,7553,TE,ATL,11,132.8,13.1,-25.321553803921518,3,false,8,54,78.83,72.2,18.2,fantasypros_sheet_headline,,16.0,false,,,,0.492,0.217,1.71,7,true,false,,0.0,2026-09-04,1,0.0,144.3,122.6,8.8,false,,,,"",79.0,4.4
