name,pos,adp
Jalen Nailor,WR,129.1
Xavier Worthy,WR,129.1
Jonah Coleman,RB,129.3
Tank Bigsby,RB,129.3
Bills,DEF,129.5
Brenton Strange,TE,129.5
Harrison Butker,K,129.5
Patriots,DEF,129.7
Tyler Allgeier,RB,129.9
Kaelon Black,RB,130.0
Kenyon Sadiq,TE,130.0
Tyler Shough,QB,130.1
Trey Smack,K,130.3
Jakobi Meyers,WR,130.4
Cam Little,K,130.5
Chris Rodriguez Jr.,RB,130.6
Tyrone Tracy Jr.,RB,130.7
Woody Marks,RB,130.7
Zach Charbonnet,RB,130.7
Khalil Shakir,WR,130.8
Wan'Dale Robinson,WR,130.8
Denzel Boston,WR,131.3
Greg Dulcich,TE,131.4
Keaton Mitchell,RB,131.5
Vikings,DEF,131.7
Romeo Doubs,WR,132.0
Browns,DEF,132.1
Chiefs,DEF,132.1
Harrison Mevis,K,132.2
Tyjae Spears,RB,132.5
Spencer Shrader,K,132.8
Jayden Higgins,WR,132.9
Tyler Bass,K,133.1
Chris Boswell,K,133.4
Jalen Coker,WR,133.4
Cowboys,DEF,133.5
Packers,DEF,136.3
Wil Lutz,K,136.4
Lions,DEF,136.6
Steelers,DEF,136.9
Jaguars,DEF,137.8
Jake Bates,K,137.9
Ravens,DEF,138.4
Chase McLaughlin,K,139.3
Tyler Loop,K,139.3
Chargers,DEF,139.4
Evan McPherson,K,142.1
Will Reichard,K,142.5
Eddy Pineiro,K,142.6
Andy Borregales,K,143.1
Cairo Santos,K,144.1
