sleeper_id,name,pos,adp,usage,curve,blend,lines,actual,games_actual,pair,blend_gt,lines_gt,blend_gt_rb,lines_gt_rb
9756,Jordan Addison,WR,134.1,198.59710981379084,165.92775911931574,172.46162925821076,207.45100000000002,212.5,15,2023->2024,172.46162925821076,207.45100000000002,172.46162925821076,207.45100000000002
11560,Caleb Williams,QB,116.7,,274.1256894403842,274.1256894403842,312.6674,260.54,17,2023->2024,250.26546242737925,285.4524565235388,274.1256894403842,312.6674
10236,Dalton Kincaid,TE,59.1,145.898045925734,179.9656539564028,157.8217087364681,207.39999999999998,100.8,13,2023->2024,162.3876532198485,213.4002954817474,157.8217087364681,207.39999999999998
4018,Joe Mixon,RB,35.0,260.34618852254624,205.95710486792908,227.71273832977593,235.178,240.5,14,2023->2024,219.51350535800063,226.7099659937354,219.51350535800063,226.7099659937354
7543,Travis Etienne Jr.,RB,17.6,232.36946647620434,234.6018363797922,233.70888841835705,230.775,130.2,15,2023->2024,234.68846660164482,231.7422809484403,234.68846660164482,231.7422809484403
4035,Alvin Kamara,RB,32.3,287.3796712319507,209.30225821551687,240.53322342209037,255.03400000000002,265.3,14,2023->2024,231.87236434694432,245.85101271056953,231.87236434694432,245.85101271056953
8121,Romeo Doubs,WR,103.0,168.6064440925987,177.10562354534227,175.40578765479356,182.58,132.1,13,2023->2024,170.61388208540916,177.5921023339318,175.40578765479356,182.58
8139,Zamir White,RB,67.8,103.763059078455,178.40553823279663,148.54854657105997,168.742,29.3,8,2023->2024,140.9349761481074,160.09345290906433,140.9349761481074,160.09345290906433
11620,Rome Odunze,WR,97.7,,179.3435716927992,179.3435716927992,184.875,144.9,17,2023->2024,174.44408991675115,179.8244052962298,179.3435716927992,184.875
11583,Jonathon Brooks,RB,85.4,,168.78920089431742,168.78920089431742,,7.5,3,2023->2024,160.13823461220682,,160.13823461220682,
11626,Xavier Legette,WR,141.3,,163.71217585856803,163.71217585856803,76.10900000000001,125.10000000000001,15,2023->2024,163.71217585856803,76.10900000000001,163.71217585856803,76.10900000000001
6819,Michael Pittman Jr.,WR,45.2,241.03238019160992,211.9974499409358,217.80443599107065,220.813,165.8,16,2023->2024,232.33012877044408,235.53933826348367,217.80443599107065,220.813
7528,Najee Harris,RB,67.1,189.498954831625,178.8379765360571,185.76761242817625,173.60399999999998,204.6,17,2023->2024,176.2464502749733,164.7062604379775,176.2464502749733,164.7062604379775
8130,Trey McBride,TE,50.4,170.86954617196076,186.88521951773788,176.47503184298276,201.382,243.8,16,2023->2024,181.58063616414324,207.20818854727708,176.47503184298276,201.382
1466,Travis Kelce,TE,24.4,217.05950680453154,218.40692519545814,217.8679578390875,249.339,195.4,16,2023->2024,224.17110211603745,256.5526339205565,217.8679578390875,249.339
10232,Michael Wilson,WR,170.2,147.5715239059967,155.8288210433595,154.17736161588698,139.927,124.5,16,2023->2024,154.17736161588698,139.927,154.17736161588698,139.927
4984,Josh Allen,QB,25.1,347.25309712437155,328.4132622768735,340.65915492774724,377.553,385.04,16,2023->2024,361.7775096700921,400.9585009903598,340.65915492774724,377.553
2216,Mike Evans,WR,33.5,250.7614833426526,224.68746848092005,229.90227145326656,228.106,240.4,14,2023->2024,245.2347863729681,243.31871897909184,229.90227145326656,228.106
11632,Malik Nabers,WR,38.3,,219.01482385441415,219.01482385441415,213.79199999999997,273.6,15,2023->2024,233.62123915060323,228.05009762118488,219.01482385441415,213.79199999999997
8150,Kyren Williams,RB,15.9,315.40049445806085,238.83447795382193,288.6023886815772,245.582,272.1,16,2023->2024,289.81205000644366,246.61134368922052,289.81205000644366,246.61134368922052
8183,Brock Purdy,QB,105.7,285.07627285181866,277.6230693883861,280.6043507737591,288.7212,278.86,15,2023->2024,256.1802133499121,263.590562336924,280.6043507737591,288.7212
6768,Tua Tagovailoa,QB,88.6,265.6412393888391,283.85724101320943,272.0168399573687,303.07939999999996,188.58,11,2023->2024,294.79328707404727,328.4567697515806,272.0168399573687,303.07939999999996
3164,Ezekiel Elliott,RB,96.2,168.25619545057035,163.82722243534863,165.5988116414373,151.096,57.5,15,2023->2024,157.11136263239416,143.35186474468705,157.11136263239416,143.35186474468705
1166,Kirk Cousins,QB,130.1,278.2633016746983,270.2858121841709,273.4768079803818,259.2058,192.32,14,2023->2024,249.67306038370518,236.6442179617993,273.4768079803818,259.2058
7561,Elijah Mitchell,RB,129.8,102.14499762021819,151.3448858579581,131.66493056286214,,0.0,0,2023->2024,117.10782881006736,,117.10782881006736,
8676,Rashid Shaheed,WR,139.8,152.27312404152985,164.16429726995784,161.78606262427223,167.22899999999996,81.80000000000001,6,2023->2024,161.78606262427223,167.22899999999996,161.78606262427223,167.22899999999996
