sleeper_id,name,pos,adp,model,sleeper,sleeper_as_of,espn,espn_as_of,sheet,sheet_as_of,mean,mean_n_sources,pair,league,model_built,actual
5967,Tony Pollard,RB,86.1,149.06875000000002,146.10000000000002,2026-09-02,170.46288499800002,2026-09-03,171.83,2026-09-01,158.281442499,2,2026,keefamania,2026-09-02,
12493,Oronde Gadsden II,TE,126.6,108.26875000000001,113.80000000000001,2026-09-02,61.98896071200001,2026-09-03,74.97,2026-09-01,87.894480356,2,2026,keefamania,2026-09-02,
11583,Jonathon Brooks,RB,93.1,148.53750000000002,137.9,2026-09-02,160.712073586,2026-09-03,153.07000000000002,2026-09-01,149.306036793,2,2026,keefamania,2026-09-02,
6806,J.K. Dobbins,RB,95.3,148.325,147.2,2026-09-02,163.17822594300003,2026-09-03,166.54,2026-09-01,155.1891129715,2,2026,keefamania,2026-09-02,
6804,Jordan Love,QB,123.0,268.28125,276.52,2026-09-02,272.39798064,2026-09-03,272.34799999999996,2026-09-01,274.45899032,2,2026,keefamania,2026-09-02,
8131,Isaiah Likely,TE,109.5,107.1,126.3,2026-09-02,123.142284674,2026-09-03,133.69,2026-09-01,124.721142337,2,2026,keefamania,2026-09-02,
5947,Jakobi Meyers,WR,130.1,128.24375,137.29999999999998,2026-09-02,146.56164987100001,2026-09-03,144.75,2026-09-01,141.93082493550003,2,2026,keefamania,2026-09-02,
11638,Ricky Pearsall,WR,,128.1375,,,,,,,,,2026,keefamania,2026-09-02,
9500,Josh Downs,WR,107.5,127.2875,137.3,2026-09-02,121.34668412799999,2026-09-03,128.98000000000002,2026-09-01,129.323342064,2,2026,keefamania,2026-09-02,
650,Nick Folk,K,127.8,121.125,,,,,,,,,2026,keefamania,2026-09-02,
11603,AJ Barner,TE,124.8,105.29374999999999,113.4,2026-09-02,91.093589652,2026-09-03,100.25,2026-09-01,102.24679482600001,2,2026,keefamania,2026-09-02,
9756,Jordan Addison,WR,115.7,125.90625,141.7,2026-09-02,139.96943622100002,2026-09-03,141.6,2026-09-01,140.8347181105,2,2026,keefamania,2026-09-02,
13545,Trey Smack,K,129.1,119.53125,,,,,,,,,2026,keefamania,2026-09-02,
8210,Chig Okonkwo,TE,126.4,103.80625,113.6,2026-09-02,94.99779817699999,2026-09-03,99.82,2026-09-01,104.29889908850001,2,2026,keefamania,2026-09-02,
6865,Colby Parkinson,TE,,102.53125,61.8,2026-09-02,61.218653225,2026-09-03,73.72,2026-09-01,61.50932661249999,2,2026,keefamania,2026-09-02,
12545,Tyler Shough,QB,129.9,263.2875,268.94,2026-09-02,273.876492378,2026-09-03,285.338,2026-09-01,271.408246189,2,2026,keefamania,2026-09-02,
4199,Aaron Jones Sr.,RB,124.2,142.69375000000002,120.1,2026-09-02,153.706408705,2026-09-03,141.23999999999998,2026-09-01,136.9032043525,2,2026,keefamania,2026-09-02,
3257,Jacoby Brissett,QB,,263.075,160.0,2026-09-02,205.72959325300002,2026-09-03,230.10600000000002,2026-09-01,182.86479662649998,2,2026,keefamania,2026-09-02,
13294,Makai Lemon,WR,115.8,121.975,138.5,2026-09-02,126.535652871,2026-09-03,123.83,2026-09-01,132.5178264355,2,2026,keefamania,2026-09-02,
8111,Cade Otton,TE,,100.30000000000001,95.80000000000001,2026-09-02,79.419577974,2026-09-03,101.51,2026-09-01,87.609788987,2,2026,keefamania,2026-09-02,
8121,Romeo Doubs,WR,132.0,121.3375,132.7,2026-09-02,123.98273586699999,2026-09-03,135.46,2026-09-01,128.3413679335,2,2026,keefamania,2026-09-02,
5844,T.J. Hockenson,TE,128.3,99.875,122.0,2026-09-02,119.48452269500001,2026-09-03,108.93999999999998,2026-09-01,120.7422613475,2,2026,keefamania,2026-09-02,
7042,Tyler Bass,K,133.7,114.75,,,,,,,,,2026,keefamania,2026-09-02,
10222,Jayden Reed,WR,117.4,120.59375,162.60000000000002,2026-09-02,140.77521013700002,2026-09-03,145.52999999999997,2026-09-01,151.6876050685,2,2026,keefamania,2026-09-02,
9758,C.J. Stroud,QB,124.8,260.1,245.82,2026-09-02,254.95220141800002,2026-09-03,260.498,2026-09-01,250.38610070900003,2,2026,keefamania,2026-09-02,
5872,Deebo Samuel Sr.,WR,126.9,120.38125,127.70000000000002,2026-09-02,124.874052602,2026-09-03,135.69,2026-09-01,126.28702630100001,2,2026,keefamania,2026-09-02,
12534,Kyle Monangai,RB,107.9,139.50625000000002,143.10000000000002,2026-09-02,161.280935374,2026-09-03,144.06,2026-09-01,152.19046768700002,2,2026,keefamania,2026-09-02,
13298,KC Concepcion,WR,124.8,119.10624999999999,127.4,2026-09-02,125.292805456,2026-09-03,133.0,2026-09-01,126.34640272800002,2,2026,keefamania,2026-09-02,
8134,Khalil Shakir,WR,130.8,119.0,135.2,2026-09-02,134.631603804,2026-09-03,129.78000000000003,2026-09-01,134.91580190199997,2,2026,keefamania,2026-09-02,
8172,Greg Dulcich,TE,131.4,97.75,87.4,2026-09-02,92.987873796,2026-09-03,106.36,2026-09-01,90.193936898,2,2026,keefamania,2026-09-02,
12474,Woody Marks,RB,130.7,138.01875,74.30000000000001,2026-09-02,118.713259656,2026-09-03,113.9,2026-09-01,96.506629828,2,2026,keefamania,2026-09-02,
4943,Sam Darnold,QB,122.0,257.01875,260.74,2026-09-02,252.85234214,2026-09-03,265.78999999999996,2026-09-01,256.79617107,2,2026,keefamania,2026-09-02,
9228,Bryce Young,QB,121.1,256.59375,233.58,2026-09-02,247.238322814,2026-09-03,255.62599999999998,2026-09-01,240.409161407,2,2026,keefamania,2026-09-02,
7600,Pat Freiermuth,TE,124.0,95.09375,102.9,2026-09-02,106.116638531,2026-09-03,107.86,2026-09-01,104.5083192655,2,2026,keefamania,2026-09-02,
11655,Tyrone Tracy Jr.,RB,130.7,135.15,100.80000000000001,2026-09-02,34.848935126,2026-09-03,72.33,2026-09-01,67.82446756300001,2,2026,keefamania,2026-09-02,
11646,Jalen Coker,WR,133.1,116.025,135.9,2026-09-02,116.040976821,2026-09-03,127.13,2026-09-01,125.97048841050001,2,2026,keefamania,2026-09-02,
4195,Jake Elliott,K,127.7,109.96875,,,,,,,,,2026,keefamania,2026-09-02,
