sleeper_id,name,pos,adp,model,sleeper,sleeper_as_of,espn,espn_as_of,sheet,sheet_as_of,mean,mean_n_sources,pair,league,model_built,actual
6804,Jordan Love,QB,145.9,268.28125,276.52,2026-09-02,272.39798064,2026-09-03,272.34799999999996,2026-09-01,274.45899032,2,2026,omnibeta,2026-09-02,
12509,Tre' Harris,WR,167.9,115.70625000000001,112.9,2026-09-02,89.720315914,2026-09-03,89.75000000000001,2026-09-01,101.310157957,2,2026,omnibeta,2026-09-02,
13413,Cyrus Allen,WR,147.9,115.49375,94.5,2026-09-02,52.660514236,2026-09-03,52.5,2026-09-01,73.580257118,2,2026,omnibeta,2026-09-02,
13293,Ja'Kobi Lane,WR,156.8,115.38749999999999,104.9,2026-09-02,109.41826091400002,2026-09-03,130.21,2026-09-01,107.159130457,2,2026,omnibeta,2026-09-02,
13315,Dean Connors,RB,170.4,125.26875000000001,8.4,2026-09-02,,,,,8.4,1,2026,omnibeta,2026-09-02,
NYG,New York Giants,DEF,166.4,103.0625,,,,,,,,,2026,omnibeta,2026-09-02,
11058,Blake Grupe,K,163.0,124.3125,,,,,,,,,2026,omnibeta,2026-09-02,
8125,Calvin Austin III,WR,,114.32499999999999,,,,,,,,,2026,omnibeta,2026-09-02,
12540,Chimere Dike,WR,145.1,114.00625,89.4,2026-09-02,34.536883827,2026-09-03,79.27,2026-09-01,61.9684419135,2,2026,omnibeta,2026-09-02,
11576,Braelon Allen,RB,156.8,123.67500000000001,52.2,2026-09-02,75.99761905399998,2026-09-03,96.67,2026-09-01,64.098809527,2,2026,omnibeta,2026-09-02,
11834,Devaughn Vele,WR,161.2,113.475,110.6,2026-09-02,123.01217221,2026-09-03,125.59,2026-09-01,116.806086105,2,2026,omnibeta,2026-09-02,
11792,Will Reichard,K,161.3,122.71875,,,,,,,,,2026,omnibeta,2026-09-02,
12536,Jaylin Noel,WR,165.7,112.73124999999999,85.2,2026-09-02,129.35776081199998,2026-09-03,120.36,2026-09-01,107.27888040600001,2,2026,omnibeta,2026-09-02,
6149,Darius Slayton,WR,175.1,112.73124999999999,76.30000000000001,2026-09-02,79.869212481,2026-09-03,96.45,2026-09-01,78.08460624050001,2,2026,omnibeta,2026-09-02,
13285,Malachi Fields,WR,155.3,112.73124999999999,105.2,2026-09-02,86.01019850200001,2026-09-03,86.10000000000001,2026-09-01,95.60509925099998,2,2026,omnibeta,2026-09-02,
11581,MarShawn Lloyd,RB,150.4,122.1875,149.0,2026-09-02,134.390077788,2026-09-03,156.51000000000002,2026-09-01,141.695038894,2,2026,omnibeta,2026-09-02,
650,Nick Folk,K,166.9,121.125,,,,,,,,,2026,omnibeta,2026-09-02,
12545,Tyler Shough,QB,135.6,263.39375,268.94,2026-09-02,273.876492378,2026-09-03,285.338,2026-09-01,271.408246189,2,2026,omnibeta,2026-09-02,
7571,Rashod Bateman,WR,153.4,110.92500000000001,102.30000000000001,2026-09-02,122.05830746,2026-09-03,134.22,2026-09-01,112.17915373,2,2026,omnibeta,2026-09-02,
SF,San Francisco 49ers,DEF,136.4,98.8125,,,,,,,,,2026,omnibeta,2026-09-02,
3257,Jacoby Brissett,QB,170.8,263.075,160.0,2026-09-02,205.72959325300002,2026-09-03,230.10600000000002,2026-09-01,182.86479662649998,2,2026,omnibeta,2026-09-02,
13545,Trey Smack,K,162.5,119.53125,,,,,,,,,2026,omnibeta,2026-09-02,
12493,Oronde Gadsden II,TE,,134.19375,141.8,2026-09-02,77.11309621200002,2026-09-03,92.02,2026-09-01,109.45654810600001,2,2026,omnibeta,2026-09-02,
3200,Sterling Shepard,WR,,108.80000000000001,0.6000000000000001,2026-09-02,,,,,0.6000000000000001,1,2026,omnibeta,2026-09-02,
NYJ,New York Jets,DEF,147.7,96.6875,,,,,,,,,2026,omnibeta,2026-09-02,
8131,Isaiah Likely,TE,136.4,133.875,157.3,2026-09-02,154.632333844,2026-09-03,165.54,2026-09-01,155.966166922,2,2026,omnibeta,2026-09-02,
13337,Emmett Johnson,RB,157.7,118.57499999999999,65.2,2026-09-02,53.650880352,2026-09-03,38.52,2026-09-01,59.42544017600001,2,2026,omnibeta,2026-09-02,
3678,Wil Lutz,K,159.6,117.9375,,,,,,,,,2026,omnibeta,2026-09-02,
2505,Darren Waller,TE,,133.45,122.6,2026-09-02,113.98847269,2026-09-03,115.92,2026-09-01,118.294236345,2,2026,omnibeta,2026-09-02,
