sleeper_id,name,pos,adp,usage,curve,blend,lines,actual,games_actual,pair,blend_rank,curve_rank,blend_rank_lin,curve_rank_lin,blend_tail,curve_tail
5012,Mark Andrews,TE,49.7,160.71356075109844,155.27037572272047,158.26412748832837,165.427,161.3,17,2023->2024,157.63803920198916,153.87906841974447,157.63803920198916,153.87906841974444,157.63803920198916,153.87906841974447
7543,Travis Etienne Jr.,RB,16.9,207.27607274089817,210.5998562185145,209.27034282746797,207.655,110.7,15,2023->2024,208.63465303830014,209.54037323656812,214.98121424740359,220.1179752517405,214.9812142474035,220.11797525174038
7588,Javonte Williams,RB,117.7,172.71381158618578,145.8360341531072,163.30658948460828,161.84,131.9,17,2023->2024,162.5433374401852,143.65531402618407,157.80290391967037,130.11121825328453,157.80290391967037,130.1112182532845
4881,Lamar Jackson,QB,40.6,331.37910960227634,313.36291442779117,325.0734412912065,349.605,434.38000000000005,17,2023->2024,323.0649745635934,307.62443806318225,323.0649745635934,307.62443806318225,323.0649745635934,307.6244380631823
6801,Tee Higgins,WR,48.5,151.40133214975071,173.26274921483943,168.89046580182168,,185.6,12,2023->2024,166.6108052791169,170.41317356145845,172.05950132049392,177.22404361317973,172.05950132049392,177.22404361317973
11625,Adonai Mitchell,WR,158.2,,133.24273177605357,133.24273177605357,128.078,42.26,17,2023->2024,139.63687245668442,139.63687245668442,131.93792736916959,131.93792736916959,131.93792736916976,131.93792736916976
11584,Bucky Irving,RB,145.8,,138.69179157543613,138.69179157543613,71.213,220.9,17,2023->2024,138.15272255876363,138.15272255876363,115.92251226481267,115.92251226481267,115.92251226481267,115.92251226481267
4981,Calvin Ridley,WR,74.2,188.65478498677967,158.86997295013077,164.82693535746057,167.80700000000002,167.20000000000002,17,2023->2024,163.60581364459262,157.34357080904584,165.27652382828188,159.43195853865743,165.2765238282819,159.43195853865745
4950,Christian Kirk,WR,54.2,150.1968910961709,169.50150183521865,165.6405796874091,178.381,57.400000000000006,8,2023->2024,163.12035969633527,166.35122684637636,166.71940394725834,170.8500321600302,166.71940394725837,170.85003216003025
5022,Dallas Goedert,TE,133.8,117.82995503037188,115.53422486508923,117.02644947252294,130.305,82.6,10,2023->2024,117.36174595785444,116.49221482317918,117.36174595785442,116.49221482317913,117.36174595785444,116.49221482317918
8676,Rashid Shaheed,WR,128.8,127.497112230695,140.20214248663953,137.66113643545063,137.98899999999998,71.80000000000001,6,2023->2024,139.22193914283474,142.15314587086965,134.5816740534737,136.35281450916838,134.58167405347382,136.3528145091685
4137,James Conner,RB,45.0,207.61487171261498,177.91975214153132,197.2215798627357,204.391,230.3,16,2023->2024,198.0688067989396,180.34040053068534,202.51303118251815,193.0381844837669,202.51303118251812,193.03818448376683
11632,Malik Nabers,WR,52.5,,170.58020563425444,170.58020563425444,175.88199999999998,219.10000000000002,15,2023->2024,167.6547223592289,167.6547223592289,172.39289140779525,172.39289140779525,172.3928914077953,172.3928914077953
6943,Gabe Davis,WR,164.2,137.6845519194938,131.98268311221486,133.12305687367066,136.187,43.9,10,2023->2024,137.8242785038788,137.859210149975,130.49538095591708,128.69808821502286,130.49538095591714,128.69808821502298
11589,Trey Benson,RB,102.2,,150.5480122894736,150.5480122894736,70.941,44.0,12,2023->2024,149.98620066944454,149.98620066944454,144.5291510809329,144.5291510809329,144.52915108093285,144.52915108093285
6819,Michael Pittman Jr.,WR,46.2,192.7199969123705,174.90728839807673,178.4698301009355,175.593,131.3,16,2023->2024,177.26540089177487,173.40175188662596,181.67312721383436,178.91140978920032,181.67312721383436,178.9114097892003
10222,Jayden Reed,WR,63.1,167.92270733088807,164.3550439532433,165.0685766287723,169.76199999999997,169.5,17,2023->2024,162.83667837378823,161.5651711345133,165.55032497915553,164.9572293912224,165.55032497915556,164.95722939122243
10859,Sam LaPorta,TE,33.4,172.64557252054735,171.21750031531542,172.14574724871616,199.444,144.6,16,2023->2024,169.37389583688406,163.29792485293797,169.37389583688406,163.29792485293797,169.37389583688406,163.29792485293797
4037,Chris Godwin Jr.,WR,71.5,168.34076381711765,160.12465847422877,161.76787954280655,171.904,112.80000000000001,7,2023->2024,160.35077384096925,158.35327634693215,162.29497141869726,160.78352331909215,162.2949714186973,160.78352331909218
4983,DJ Moore,WR,37.9,215.76601128983907,181.6104403513501,188.44155453904787,186.15,189.10000000000002,17,2023->2024,187.35287214576576,180.2495873597474,192.07055602006133,186.14669220261692,192.07055602006133,186.14669220261692
8143,Jerome Ford,RB,95.9,167.10204088339123,152.6711518892763,162.051229735451,192.797,115.5,14,2023->2024,161.51547631288517,151.14042782480254,160.0521724495156,146.95955964374667,160.0521724495156,146.95955964374662
2133,Davante Adams,WR,21.0,220.35460253053455,201.59609597425214,205.34779728550865,195.483,198.79999999999998,14,2023->2024,203.94204308369177,199.83890322198104,207.63473330732626,204.45476600152418,207.6347333073262,204.45476600152412
8146,Garrett Wilson,WR,13.3,185.1518840428996,217.05709326569402,210.67605142113516,213.01000000000002,201.4,17,2023->2024,209.8616037670148,216.03903369804357,211.25403797382756,217.77957645655954,211.2540379738275,217.77957645655948
7547,Amon-Ra St. Brown,WR,6.9,243.01145653554445,239.27051149937878,240.0187005066119,254.08200000000002,258.68,17,2023->2024,237.4797964367202,236.09688141201408,234.93999576381657,232.92213057088458,234.93999576381654,232.92213057088452
3294,Dak Prescott,QB,56.7,302.3528844817447,298.2211455249129,300.9067758468536,310.73959999999994,124.52,8,2023->2024,300.0785319284893,295.85473432958645,300.0785319284893,295.85473432958645,300.0785319284893,295.85473432958645
4866,Saquon Barkley,RB,9.5,221.29378734622918,229.82125295968532,226.41026671430285,231.43800000000002,338.8,16,2023->2024,229.0986307960791,234.30185976264576,229.7662316101721,235.414527786134,229.76623161017204,235.41452778613387
5850,Josh Jacobs,RB,19.9,212.95536472127128,205.14712241702844,208.27041933872556,236.98000000000002,275.1,17,2023->2024,208.24327812256627,205.1018870567629,215.24934385195056,216.77866327240338,215.24934385195047,216.77866327240324
11628,Marvin Harrison Jr.,WR,16.1,,210.58998837618574,210.58998837618574,185.50400000000002,165.5,17,2023->2024,207.03137766071302,207.03137766071302,210.5262147182699,210.5262147182699,210.52621471826984,210.52621471826984
