sleeper_id,name,pos,adp,usage,curve,blend,lines,actual,games_actual,pair,blend_rank,curve_rank,blend_rank_lin,curve_rank_lin,blend_tail,curve_tail
9756,Jordan Addison,WR,134.1,198.59710981379084,165.92775911931574,172.46162925821076,207.45100000000002,212.5,15,2023->2024,174.39998806385887,168.35070762637585,169.28929494395845,161.96234122650034,169.27919851792987,161.94972069396462
11560,Caleb Williams,QB,116.7,,274.1256894403842,274.1256894403842,312.6674,260.54,17,2023->2024,274.5997462830372,274.5997462830372,274.59974628303723,274.59974628303723,274.59974628303706,274.59974628303706
10236,Dalton Kincaid,TE,59.1,145.898045925734,179.9656539564028,157.8217087364681,207.39999999999998,100.8,13,2023->2024,157.20114486551068,178.19261432509592,157.20114486551068,178.19261432509592,157.2011448655107,178.19261432509597
4018,Joe Mixon,RB,35.0,260.34618852254624,205.95710486792908,227.71273832977593,235.178,240.5,14,2023->2024,226.5423675415121,204.0064868874894,235.69588655545482,219.26235191072723,235.69588655545482,219.26235191072723
7543,Travis Etienne Jr.,RB,17.6,232.36946647620434,234.6018363797922,233.70888841835705,230.775,130.2,15,2023->2024,232.76722115272932,233.0323909370793,239.05945932931752,243.5194545647263,239.05945932931755,243.51945456472635
4035,Alvin Kamara,RB,32.3,287.3796712319507,209.30225821551687,240.53322342209037,255.03400000000002,265.3,14,2023->2024,239.30925974957776,207.2623187613291,248.4108848791923,222.43169397735338,248.4108848791923,222.43169397735338
8121,Romeo Doubs,WR,103.0,168.6064440925987,177.10562354534227,175.40578765479356,182.58,132.1,13,2023->2024,177.21836090595735,179.37134010929702,178.00282023006676,180.35191426443376,178.0251190882176,180.3797878371223
8139,Zamir White,RB,67.8,103.763059078455,178.40553823279663,148.54854657105997,168.742,29.3,8,2023->2024,149.21341037343873,179.51364457009456,155.65451469381566,190.24881843738942,155.65451469381566,190.2488184373894
11620,Rome Odunze,WR,97.7,,179.3435716927992,179.3435716927992,184.875,144.9,17,2023->2024,181.4972134833211,181.4972134833211,183.58050308838904,183.58050308838904,183.61476250777662,183.61476250777662
11583,Jonathon Brooks,RB,85.4,,168.78920089431742,168.78920089431742,,7.5,3,2023->2024,170.64033250639534,170.64033250639534,176.86282267470548,176.86282267470548,176.8628226747054,176.8628226747054
11626,Xavier Legette,WR,141.3,,163.71217585856803,163.71217585856803,76.10900000000001,125.10000000000001,15,2023->2024,165.96592117145696,165.96592117145696,157.57461503654167,157.57461503654167,157.5514057145158,157.5514057145158
6819,Michael Pittman Jr.,WR,45.2,241.03238019160992,211.9974499409358,217.80443599107065,220.813,165.8,16,2023->2024,215.41883365408341,209.01544701970178,222.92433337840035,218.39732167509794,222.99291455671707,218.48304814799383
7528,Najee Harris,RB,67.1,189.498954831625,178.8379765360571,185.76761242817625,173.60399999999998,204.6,17,2023->2024,186.6966069455089,181.49224658557893,190.72214359754526,192.99377987711136,190.72214359754523,192.99377987711134
8130,Trey McBride,TE,50.4,170.86954617196076,186.88521951773788,176.47503184298276,201.382,243.8,16,2023->2024,175.7495847098576,184.81251342309463,175.7495847098576,184.81251342309463,175.7495847098576,184.81251342309469
1466,Travis Kelce,TE,24.4,217.05950680453154,218.40692519545814,217.8679578390875,249.339,195.4,16,2023->2024,222.38725252712752,225.93908300885818,222.3872525271276,225.93908300885826,222.38725252712754,225.93908300885823
10232,Michael Wilson,WR,170.2,147.5715239059967,155.8288210433595,154.17736161588698,139.927,124.5,16,2023->2024,155.51852517969414,157.5052754981185,142.0217033789417,140.63424824717796,141.96816794009328,140.56732894861744
4984,Josh Allen,QB,25.1,347.25309712437155,328.4132622768735,340.65915492774724,377.553,385.04,16,2023->2024,344.1259495267535,338.3183897026057,344.1259495267535,338.3183897026057,344.1259495267535,338.31838970260566
2216,Mike Evans,WR,33.5,250.7614833426526,224.68746848092005,229.90227145326656,228.106,240.4,14,2023->2024,228.41556814528303,222.82908934594064,235.98638761365766,232.2926136814089,236.062821882276,232.38815651718187
11632,Malik Nabers,WR,38.3,,219.01482385441415,219.01482385441415,213.79199999999997,273.6,15,2023->2024,217.7462962092077,217.7462962092077,227.39011521831165,227.39011521831165,229.89567635448697,229.89567635448697
8150,Kyren Williams,RB,15.9,315.40049445806085,238.83447795382193,288.6023886815772,245.582,272.1,16,2023->2024,288.6513249770607,238.97429594091764,291.66377240996474,247.58128860635776,291.66377240996474,247.5812886063578
8183,Brock Purdy,QB,105.7,285.07627285181866,277.6230693883861,280.6043507737591,288.7212,278.86,15,2023->2024,280.6316193647418,277.66851704002386,280.6316193647418,277.66851704002386,280.6316193647417,277.66851704002374
6768,Tua Tagovailoa,QB,88.6,265.6412393888391,283.85724101320943,272.0168399573687,303.07939999999996,188.58,11,2023->2024,271.7905916462035,283.21081726702306,271.7905916462035,283.21081726702306,271.79059164620344,283.21081726702295
3164,Ezekiel Elliott,RB,96.2,168.25619545057035,163.82722243534863,165.5988116414373,151.096,57.5,15,2023->2024,165.1605418783618,163.0967728302228,165.65367358807336,163.91865901307537,165.65367358807333,163.9186590130753
1166,Kirk Cousins,QB,130.1,278.2633016746983,270.2858121841709,273.4768079803818,259.2058,192.32,14,2023->2024,273.69552771624984,270.65034507728416,273.69552771624984,270.6503450772842,273.6955277162497,270.65034507728404
7561,Elijah Mitchell,RB,129.8,102.14499762021819,151.3448858579581,131.66493056286214,,0.0,0,2023->2024,130.64555150734975,149.64592076543744,122.74988106573105,136.48647002940626,122.749881065731,136.4864700294062
8676,Rashid Shaheed,WR,139.8,152.27312404152985,164.16429726995784,161.78606262427223,167.22899999999996,81.80000000000001,6,2023->2024,163.8523073776103,166.7471032116304,157.67815152379407,159.02940839436013,157.66242155840115,159.00974593761893
9509,Bijan Robinson,RB,4.9,232.62509334323082,287.8813811857078,251.96479408809773,277.62700000000007,341.70000000000005,17,2023->2024,252.1655806297993,288.45505701914084,247.2672326828015,274.4597771705756,247.2672326828015,274.45977717057565
8144,Chris Olave,WR,26.2,227.4745008854959,235.0997939471657,233.57473533483176,241.50199999999998,76.7,8,2023->2024,230.85621056675484,231.70163798706955,237.77734518174057,240.35305625580173,237.85573050826838,240.45103791396147
8151,Kenneth Walker,RB,35.6,191.87769726209683,205.2488473848259,196.557599805052,212.245,181.20000000000002,11,2023->2024,195.05233925474494,200.94810295537718,200.37601852991392,216.15861517014568,200.37601852991392,216.15861517014565
