player,sleeper_id,pos,team,bye,proj_pts,vorp,vorp_flex,tier,cliff_flag,pos_rank,value_rank,ecr,adp,adp_delta,proj_source,avail_status,exp_games,rookie_flag,backs_up,starter_exp_games,starter_avail,wopr,tprr,yprr,hv_touches,routes_proxy,upside_flag,upside_why,alpha_used,proj_as_of,n_sources,proj_sd,proj_hi,proj_lo,proj_band,non_starter,contingent_of,backs_up_pos,starter_fragility,starter_fragility_label,yahoo_rank
Jake Bates,11539,K,DET,6,136.5,0.0,0.0,1,false,10,89,221.13,142.5,53.5,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",231.0
Rome Odunze,11620,WR,CHI,10,163.9,0.0,-8.301176470588246,8,false,24,90,57.49,66.7,-23.3,fantasypros_sheet,,13.5,false,,,,0.602,0.209,1.53,6,true,false,,0.0,2026-09-01,1,0.0,163.9,163.9,9.4,false,,,,"",49.0
David Montgomery,5892,RB,HOU,8,172.2,0.0,0.0,5,false,24,91,61.35,53.5,-37.5,fantasypros_sheet,,14.0,false,,,,0.083,0.12,0.79,25,true,false,,0.0,2026-09-01,1,0.0,172.2,172.2,13.1,false,,,,"",57.0
Los Angeles Chargers,LAC,DEF,LAC,7,117.0,0.0,0.0,1,false,10,92,193.51,143.0,51.0,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",228.0
DJ Moore,4983,WR,BUF,7,163.6,-0.3,-8.592941176470589,8,false,25,93,52.06,60.1,-32.9,fantasypros_sheet,,16.0,false,,,,0.381,0.148,1.19,7,true,false,,0.0,2026-09-01,1,0.0,163.6,163.6,15.2,false,,,,"",47.0
Jaylen Waddle,7526,WR,DEN,10,162.9,-1.0,-9.280000000000001,8,false,26,94,34.78,40.5,-53.5,fantasypros_sheet,,14.0,false,,,,0.648,0.245,2.23,5,true,false,,0.0,2026-09-01,1,0.0,162.9,162.9,2.9,false,,,,"",35.0
Andy Borregales,12713,K,NEP,11,135.0,-1.5,-1.5,1,false,11,95,223.39,186.6,91.6,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",286.0
Isaiah Likely,8131,TE,NYG,8,125.8,-1.6,-46.352941176470594,2,false,13,96,123.13,109.5,13.5,fantasypros_sheet,,12.0,false,,,,0.288,0.14,1.2,2,true,false,,0.0,2026-09-01,1,0.0,125.8,125.8,20.5,false,,,,"",123.0
Baltimore Ravens,BAL,DEF,BAL,13,115.0,-2.0,-2.0,1,false,11,97,198.22,166.6,69.6,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",203.0
Justin Herbert,6797,QB,LAC,7,281.7,-2.0,-2.0141176470588107,2,false,13,98,71.63,70.1,-27.9,fantasypros_sheet,,14.3,false,,,,0.0,0.0,0.0,7,true,false,,0.0,2026-09-01,1,0.0,281.7,281.7,14.8,false,,,,"",74.0
