sleeper_id,name,pos,adp,usage,curve,blend,lines,actual,games_actual,pair,blend_gt,lines_gt
5012,Mark Andrews,TE,49.7,160.71356075109844,155.27037572272047,158.26412748832837,165.427,161.3,17,2023->2024,162.84287160159218,170.21297338794133
7543,Travis Etienne Jr.,RB,16.9,207.27607274089817,210.5998562185145,209.27034282746797,207.655,110.7,15,2023->2024,210.147488166827,208.5253747171417
7588,Javonte Williams,RB,117.7,172.71381158618578,145.8360341531072,163.30658948460828,161.84,131.9,17,2023->2024,145.2511313617308,143.94669053938023
4881,Lamar Jackson,QB,40.6,331.37910960227634,313.36291442779117,325.0734412912065,349.605,434.38000000000005,17,2023->2024,345.22559675568704,371.2779311480369
6801,Tee Higgins,WR,48.5,151.40133214975071,173.26274921483943,168.89046580182168,,185.6,12,2023->2024,180.15401518014156,
11625,Adonai Mitchell,WR,158.2,,133.24273177605357,133.24273177605357,128.078,42.26,17,2023->2024,133.24273177605357,128.078
11584,Bucky Irving,RB,145.8,,138.69179157543613,138.69179157543613,71.213,220.9,17,2023->2024,138.69179157543613,71.213
4981,Calvin Ridley,WR,74.2,188.65478498677967,158.86997295013077,164.82693535746057,167.80700000000002,167.20000000000002,17,2023->2024,170.02478506845918,173.09882663356524
4950,Christian Kirk,WR,54.2,150.1968910961709,169.50150183521865,165.6405796874091,178.381,57.400000000000006,8,2023->2024,170.86408783181912,184.00627979596797
5022,Dallas Goedert,TE,133.8,117.82995503037188,115.53422486508923,117.02644947252294,130.305,82.6,10,2023->2024,122.6911928164577,136.6125004390758
8676,Rashid Shaheed,WR,128.8,127.497112230695,140.20214248663953,137.66113643545063,137.98899999999998,71.80000000000001,6,2023->2024,137.66113643545063,137.98899999999998
4137,James Conner,RB,45.0,207.61487171261498,177.91975214153132,197.2215798627357,204.391,230.3,16,2023->2024,190.12023940977295,197.03151085316472
11632,Malik Nabers,WR,52.5,,170.58020563425444,170.58020563425444,175.88199999999998,219.10000000000002,15,2023->2024,175.95948585101763,181.4284733411879
