season,week,game_id,team,player_id,pos
2025,1,2025_01_ARI_NO,ARI,00-0033553,RB
2025,1,2025_01_ARI_NO,ARI,00-0033891,WR
2025,1,2025_01_ARI_NO,ARI,00-0035228,QB
2025,1,2025_01_ARI_NO,ARI,00-0035500,WR
2025,1,2025_01_ARI_NO,ARI,00-0037744,TE
2025,1,2025_01_ARI_NO,ARI,00-0038456,TE
2025,1,2025_01_ARI_NO,ARI,00-0038559,WR
2025,1,2025_01_ARI_NO,ARI,00-0039041,TE
2025,1,2025_01_ARI_NO,ARI,00-0039737,TE
2025,1,2025_01_ARI_NO,ARI,00-0039849,WR
2025,1,2025_01_ARI_NO,ARI,00-0039921,RB
2025,1,2025_01_ARI_NO,NO,00-0031236,WR
2025,1,2025_01_ARI_NO,NO,00-0033906,RB
2025,1,2025_01_ARI_NO,NO,00-0036040,TE
2025,1,2025_01_ARI_NO,NO,00-0036741,TE
2025,1,2025_01_ARI_NO,NO,00-0037239,WR
2025,1,2025_01_ARI_NO,NO,00-0037545,WR
2025,1,2025_01_ARI_NO,NO,00-0038551,RB
2025,1,2025_01_ARI_NO,NO,00-0039376,QB
2025,1,2025_01_ARI_NO,NO,00-0039424,WR
2025,1,2025_01_ARI_NO,NO,00-0040202,RB
2025,1,2025_01_ARI_NO,NO,00-0040244,TE
2025,1,2025_01_BAL_BUF,BAL,00-0030564,WR
2025,1,2025_01_BAL_BUF,BAL,00-0032764,RB
2025,1,2025_01_BAL_BUF,BAL,00-0034753,TE
2025,1,2025_01_BAL_BUF,BAL,00-0034796,QB
2025,1,2025_01_BAL_BUF,BAL,00-0034975,RB
2025,1,2025_01_BAL_BUF,BAL,00-0036550,WR
2025,1,2025_01_BAL_BUF,BAL,00-0036630,WR
2025,1,2025_01_BAL_BUF,BAL,00-0037340,TE
2025,1,2025_01_BAL_BUF,BAL,00-0038046,TE
2025,1,2025_01_BAL_BUF,BAL,00-0039064,WR
2025,1,2025_01_BAL_BUF,BAL,00-0039796,RB
2025,1,2025_01_BAL_BUF,BUF,00-0034857,QB
2025,1,2025_01_BAL_BUF,BUF,00-0035537,RB
2025,1,2025_01_BAL_BUF,BUF,00-0035689,TE
2025,1,2025_01_BAL_BUF,BUF,00-0036187,RB
2025,1,2025_01_BAL_BUF,BUF,00-0036980,WR
2025,1,2025_01_BAL_BUF,BUF,00-0036988,WR
2025,1,2025_01_BAL_BUF,BUF,00-0037248,RB
2025,1,2025_01_BAL_BUF,BUF,00-0037261,WR
2025,1,2025_01_BAL_BUF,BUF,00-0038679,WR
2025,1,2025_01_BAL_BUF,BUF,00-0038933,TE
2025,1,2025_01_BAL_BUF,BUF,00-0039875,RB
2025,1,2025_01_BAL_BUF,BUF,00-0039901,WR
2025,1,2025_01_BAL_BUF,BUF,00-0040194,TE
2025,1,2025_01_CAR_JAX,CAR,00-0033589,WR
2025,1,2025_01_CAR_JAX,CAR,00-0034983,WR
2025,1,2025_01_CAR_JAX,CAR,00-0036139,RB
2025,1,2025_01_CAR_JAX,CAR,00-0036555,RB
2025,1,2025_01_CAR_JAX,CAR,00-0037005,TE
2025,1,2025_01_CAR_JAX,CAR,00-0038840,WR
2025,1,2025_01_CAR_JAX,CAR,00-0039150,QB
2025,1,2025_01_CAR_JAX,CAR,00-0039342,WR
2025,1,2025_01_CAR_JAX,CAR,00-0039356,TE
2025,1,2025_01_CAR_JAX,CAR,00-0040124,WR
