team,posgrp,metric,n,value,league,var_play,k_eb,between_var
ARI,ALL,ypt,514,7.607003891050583,7.417002864994445,71.81406391031612,3039.6626381074793,0.0005481247724060949
ARI,ALL,catch_rate,514,0.7198443579766537,0.6799391919546278,,521.7010398303822,0.000902278731313862
ARI,OTHER,ypt,56,8.785714285714286,6.721284703320632,90.57142857142858,1000000000.0,0.0
ARI,OTHER,catch_rate,56,0.7857142857142857,0.7093086554164398,,1000000000.0,0.0
ARI,RB,ypt,85,6.294117647058823,5.97840339375241,34.01960784313725,2377.748463925071,0.0006659765290317303
ARI,RB,catch_rate,85,0.8352941176470589,0.7952178943308909,,391.5183427094134,0.0006577392313978081
ARI,TE,ypt,78,5.935897435897436,7.3404553415061295,38.03479853479854,250.39251144789384,0.005227907372206112
ARI,TE,catch_rate,78,0.6923076923076923,0.7145359019264448,,1000000000.0,0.0
ARI,WR,ypt,295,8.203389830508474,7.952410068276776,86.8224374495561,1000000000.0,0.0
ARI,WR,catch_rate,295,0.6813559322033899,0.6338530520737797,,774.5428783265003,0.0007457982627986511
ATL,ALL,ypt,554,7.227436823104693,7.417002864994445,79.35143392457286,3039.6626381074793,0.0005481247724060949
ATL,ALL,catch_rate,554,0.7292418772563177,0.6799391919546278,,521.7010398303822,0.000902278731313862
ATL,OTHER,ypt,44,6.454545454545454,6.721284703320632,56.99788583509512,1000000000.0,0.0
ATL,OTHER,catch_rate,44,0.75,0.7093086554164398,,1000000000.0,0.0
ATL,RB,ypt,98,5.387755102040816,5.97840339375241,44.755312434252055,2377.748463925071,0.0006659765290317303
ATL,RB,catch_rate,98,0.8571428571428571,0.7952178943308909,,391.5183427094134,0.0006577392313978081
ATL,TE,ypt,97,7.77319587628866,7.3404553415061295,75.26052405498281,250.39251144789384,0.005227907372206112
ATL,TE,catch_rate,97,0.7010309278350515,0.7145359019264448,,1000000000.0,0.0
ATL,WR,ypt,315,7.73968253968254,7.952410068276776,93.6135476695986,1000000000.0,0.0
ATL,WR,catch_rate,315,0.6952380952380952,0.6338530520737797,,774.5428783265003,0.0007457982627986511
BAL,ALL,ypt,599,7.459098497495827,7.417002864994445,93.72031423610142,3039.6626381074793,0.0005481247724060949
BAL,ALL,catch_rate,599,0.66110183639399,0.6799391919546278,,521.7010398303822,0.000902278731313862
BAL,OTHER,ypt,83,5.313253012048193,6.721284703320632,38.58360270349692,1000000000.0,0.0
BAL,OTHER,catch_rate,83,0.6626506024096386,0.7093086554164398,,1000000000.0,0.0
BAL,RB,ypt,84,6.2023809523809526,5.97840339375241,57.39228341939183,2377.748463925071,0.0006659765290317303
BAL,RB,catch_rate,84,0.7261904761904762,0.7952178943308909,,391.5183427094134,0.0006577392313978081
BAL,TE,ypt,88,8.477272727272727,7.3404553415061295,68.45924764890279,250.39251144789384,0.005227907372206112
BAL,TE,catch_rate,88,0.75,0.7145359019264448,,1000000000.0,0.0
BAL,WR,ypt,342,8.058479532163743,7.952410068276776,121.32794841453584,1000000000.0,0.0
BAL,WR,catch_rate,342,0.6198830409356725,0.6338530520737797,,774.5428783265003,0.0007457982627986511
BUF,ALL,ypt,549,7.484517304189436,7.417002864994445,74.4874423304482,3039.6626381074793,0.0005481247724060949
BUF,ALL,catch_rate,549,0.7213114754098361,0.6799391919546278,,521.7010398303822,0.000902278731313862
BUF,OTHER,ypt,74,6.54054054054054,6.721284703320632,45.9503887449093,1000000000.0,0.0
BUF,OTHER,catch_rate,74,0.7027027027027027,0.7093086554164398,,1000000000.0,0.0
BUF,RB,ypt,110,6.154545454545454,5.97840339375241,44.20525437864887,2377.748463925071,0.0006659765290317303
BUF,RB,catch_rate,110,0.7818181818181819,0.7952178943308909,,391.5183427094134,0.0006577392313978081
BUF,TE,ypt,83,6.180722891566265,7.3404553415061295,42.14986776373788,250.39251144789384,0.005227907372206112
BUF,TE,catch_rate,83,0.7108433734939759,0.7145359019264448,,1000000000.0,0.0
BUF,WR,ypt,282,8.634751773049645,7.952410068276776,101.12234673531711,1000000000.0,0.0
BUF,WR,catch_rate,282,0.7056737588652482,0.6338530520737797,,774.5428783265003,0.0007457982627986511
CAR,ALL,ypt,510,7.927450980392157,7.417002864994445,94.17743749759236,3039.6626381074793,0.0005481247724060949
CAR,ALL,catch_rate,510,0.7058823529411765,0.6799391919546278,,521.7010398303822,0.000902278731313862
CAR,OTHER,ypt,58,7.982758620689655,6.721284703320632,85.77162734422262,1000000000.0,0.0
CAR,OTHER,catch_rate,58,0.7586206896551724,0.7093086554164398,,1000000000.0,0.0
CAR,RB,ypt,75,6.666666666666667,5.97840339375241,82.19819819819818,2377.748463925071,0.0006659765290317303
CAR,RB,catch_rate,75,0.8533333333333334,0.7952178943308909,,391.5183427094134,0.0006577392313978081
CAR,TE,ypt,79,8.341772151898734,7.3404553415061295,92.99707887049662,250.39251144789384,0.005227907372206112
CAR,TE,catch_rate,79,0.7215189873417721,0.7145359019264448,,1000000000.0,0.0
CAR,WR,ypt,298,8.124161073825503,7.952410068276776,99.55018868777258,1000000000.0,0.0
CAR,WR,catch_rate,298,0.6543624161073825,0.6338530520737797,,774.5428783265003,0.0007457982627986511
CHI,ALL,ypt,477,8.29979035639413,7.417002864994445,114.8700209643606,3039.6626381074793,0.0005481247724060949
CHI,ALL,catch_rate,477,0.6813417190775681,0.6799391919546278,,521.7010398303822,0.000902278731313862
CHI,OTHER,ypt,37,7.621621621621622,6.721284703320632,57.68618618618618,1000000000.0,0.0
CHI,OTHER,catch_rate,37,0.7297297297297297,0.7093086554164398,,1000000000.0,0.0
CHI,RB,ypt,73,6.287671232876712,5.97840339375241,58.92998477929984,2377.748463925071,0.0006659765290317303
CHI,RB,catch_rate,73,0.8082191780821918,0.7952178943308909,,391.5183427094134,0.0006577392313978081
CHI,TE,ypt,101,8.168316831683168,7.3404553415061295,86.40138613861386,250.39251144789384,0.005227907372206112
CHI,TE,catch_rate,101,0.6831683168316832,0.7145359019264448,,1000000000.0,0.0
CHI,WR,ypt,266,8.996240601503759,7.952410068276776,148.20753298340202,1000000000.0,0.0
CHI,WR,catch_rate,266,0.6390977443609023,0.6338530520737797,,774.5428783265003,0.0007457982627986511
CIN,ALL,ypt,547,7.341864716636198,7.417002864994445,91.1521452344122,3039.6626381074793,0.0005481247724060949
CIN,ALL,catch_rate,547,0.680073126142596,0.6799391919546278,,521.7010398303822,0.000902278731313862
CIN,OTHER,ypt,49,7.938775510204081,6.721284703320632,80.10034013605441,1000000000.0,0.0
CIN,OTHER,catch_rate,49,0.8163265306122449,0.7093086554164398,,1000000000.0,0.0
CIN,RB,ypt,84,6.095238095238095,5.97840339375241,52.15949512335052,2377.748463925071,0.0006659765290317303
CIN,RB,catch_rate,84,0.8690476190476191,0.7952178943308909,,391.5183427094134,0.0006577392313978081
CIN,TE,ypt,111,7.621621621621622,7.3404553415061295,54.455528255528264,250.39251144789384,0.005227907372206112
CIN,TE,catch_rate,111,0.7477477477477478,0.7145359019264448,,1000000000.0,0.0
CIN,WR,ypt,303,7.488448844884489,7.952410068276776,117.35665420846719,1000000000.0,0.0
CIN,WR,catch_rate,303,0.5808580858085809,0.6338530520737797,,774.5428783265003,0.0007457982627986511
