opp_tds,qb_rush,rush_in5,rush_far,pass_ez,pass_rz,pass_far
0,0.935047,1.142018,1.140628,0.931589,0.930219,0.955448
1,0.977697,1.067720,1.093115,0.868901,1.102958,1.008602
2,0.994042,1.039664,1.023110,0.997374,0.934377,1.002375
3,0.979800,0.938973,0.881221,1.071586,1.052246,0.993975
4,1.074958,0.890044,0.948875,1.073028,0.976379,1.014496
