gsis_id,target_share,catch_rate,ypt,rush_share,ypc,i10_target_share,i10_carry_share,targets_n,team_targets_n,carries_n,team_carries_n,i10_targets_n,i10_carries_n,n_games,team_prior,full_name,snap_pct_25
00-0023459,0.0,,,0.10494,6.52941,0.0,0.0,0.0,242,17.0,162,16.0,6.0,17,NYJ,Aaron Rodgers,0.96353
00-0024243,0.03846,1.0,2.0,0.0,,0.0,0.0,1.0,26,0.0,26,5.0,2.0,17,CHI,Marcedes Lewis,0.19176
00-0026158,0.0,,,0.04651,4.83333,0.0,0.0,0.0,174,6.0,129,7.0,15.0,17,IND,Joe Flacco,0.8525
00-0026300,0.0,,,0.06061,1.5,0.0,0.0,0.0,19,2.0,33,3.0,5.0,19,BAL,Josh Johnson,0.09833
00-0026498,0.0,,,0.08982,3.93333,0.0,0.08333,0.0,225,15.0,167,18.0,12.0,18,LA,Matthew Stafford,1.0
00-0027973,0.0,,,0.07527,5.42857,0.0,0.0,0.0,127,7.0,93,9.0,8.0,16,CAR,Andy Dalton,0.81
00-0028118,0.0,,,0.075,4.33333,0.0,0.33333,0.0,62,3.0,40,5.0,3.0,17,NYJ,Tyrod Taylor,0.31
00-0029263,0.0,,,0.10185,5.0,0.0,0.1875,0.0,309,33.0,324,17.0,32.0,13,PIT,Russell Wilson,0.98273
00-0029604,0.0,,,0.0603,1.66667,0.0,0.0,0.0,188,12.0,199,9.0,11.0,17,ATL,Kirk Cousins,0.97714
00-0029892,0.07434,0.6129,6.45161,0.01302,5.2,0.03333,0.05769,31.0,417,5.0,384,30.0,52.0,17,SF,Kyle Juszczyk,0.49471
00-0030035,0.2013,0.77419,9.91935,0.0,,0.10526,0.0,62.0,308,0.0,236,19.0,27.0,10,CAR,Adam Thielen,0.708
00-0030061,0.18307,0.70968,7.03226,0.0,,0.33333,0.0,93.0,508,0.0,515,36.0,67.0,20,WAS,Zach Ertz,0.66882
00-0030279,0.27152,0.56911,6.04878,0.0,,0.34483,0.0,123.0,453,0.0,369,29.0,27.0,15,CHI,Keenan Allen,0.868
00-0030431,0.07557,0.66667,6.76667,0.0,,0.03846,0.0,30.0,397,0.0,274,26.0,28.0,17,HOU,Robert Woods,0.37067
00-0030506,0.24057,0.72388,6.14179,0.0024,1.0,0.20833,0.025,134.0,557,1.0,417,48.0,40.0,19,KC,Travis Kelce,0.84562
00-0030564,0.1444,0.7,7.725,0.0,,0.18182,0.0,80.0,554,0.0,397,44.0,32.0,20,KC,DeAndre Hopkins,0.504
00-0030565,0.0,,,0.11461,7.15,0.0,0.09091,0.0,539,40.0,349,29.0,33.0,17,SEA,Geno Smith,0.97471
00-0030578,0.0419,0.8,5.33333,0.08122,4.21875,0.125,0.03125,15.0,358,32.0,394,16.0,32.0,14,PIT,Cordarrelle Patterson,0.12615
00-0031235,0.06475,0.5,3.05556,0.0,,0.07692,0.0,18.0,278,0.0,212,26.0,19.0,9,MIA,Odell Beckham Jr.,0.20222
00-0031236,0.15882,0.48148,4.7963,0.01141,-1.0,0.46154,0.0,54.0,340,3.0,263,13.0,16.0,10,DAL,Brandin Cooks,0.698
00-0031280,0.0,,,0.06024,4.86667,0.0,0.125,0.0,214,15.0,249,8.0,24.0,10,NO,Derek Carr,0.944
00-0031299,0.03448,0.0,0.0,0.0,,0.0,0.0,1.0,29,0.0,20,2.0,1.0,4,CAR,Jordan Matthews,0.115
00-0031345,0.0,,,0.09524,2.5,0.0,0.0,0.0,41,2.0,21,5.0,1.0,17,LA,Jimmy Garoppolo,1.0
00-0031357,0.02041,0.0,0.0,0.0,,0.0,0.0,1.0,49,0.0,21,5.0,2.0,17,DAL,C.J. Goodwin,0.0
00-0031381,0.294,0.59859,7.48592,0.0,,0.425,0.0,142.0,483,0.0,282,40.0,14.0,14,NYJ,Davante Adams,0.90818
00-0031408,0.23965,0.67273,9.12727,0.0,,0.2439,0.0,110.0,459,0.0,404,41.0,38.0,15,TB,Mike Evans,0.71571
00-0031428,0.03804,0.42857,4.28571,0.0,,0.0,0.0,7.0,184,0.0,173,23.0,23.0,16,DET,Allen Robinson,0.12
00-0031484,0.03509,0.75,7.5,0.0,,0.16667,0.0,4.0,114,0.0,107,6.0,5.0,17,NYG,Chris Manhertz,0.30824
00-0031503,0.0,,,0.1039,3.5,0.0,0.23077,0.0,387,24.0,231,21.0,13.0,14,CLE,Jameis Winston,0.585
00-0031544,0.20936,0.51765,6.43529,0.0,,0.1,0.0,85.0,406,0.0,327,20.0,30.0,17,BUF,Amari Cooper,0.45875
