team,targets,carries,i10_targets,i10_carries,pass_td,rush_td
ARI,36.4706,21.4118,2.1765,2.1176,1.7059,0.5294
ATL,30.7059,27.3529,1.7059,2.4118,1.1176,1.0
BAL,24.0588,28.8235,1.5882,3.0588,1.3529,1.3529
BUF,28.7059,30.7059,2.6471,3.7059,1.7059,1.7647
CAR,28.3529,26.1765,1.7059,1.7647,1.4118,0.5294
CHI,31.5294,29.1765,1.8235,3.1765,1.6471,1.1176
CIN,35.9412,21.8824,2.4118,1.8235,2.1176,0.6471
CLE,30.8235,24.6471,1.2353,2.0588,0.9412,0.5882
DAL,35.8824,26.4118,2.9412,2.6471,1.8235,1.0588
DEN,34.6471,25.8235,2.2941,2.1176,1.4706,1.0588
DET,32.3529,25.4118,2.4706,2.8824,2.0588,1.2353
GB,27.1765,27.8824,1.5882,2.6471,1.5294,1.0588
HOU,32.7647,27.2353,2.2941,2.1176,1.4118,0.5294
IND,31.5294,25.3529,2.3529,3.4706,1.4706,1.5882
JAX,32.2941,27.7059,2.3529,3.2353,1.7059,1.2941
KC,32.4706,24.5294,2.7647,2.4706,1.3529,0.8824
LA,34.1765,25.8235,3.3529,3.0,2.7059,1.0
LAC,32.0,26.7647,1.8824,2.0588,1.5294,0.5882
LV,29.1765,21.4118,1.5882,1.1765,1.1765,0.2941
MIA,27.3529,24.9412,2.0,1.8824,1.3529,0.8235
MIN,27.7647,23.2941,1.8235,1.4118,1.0588,0.8824
NE,28.4118,27.4118,2.0,3.2941,1.8235,1.2941
NO,33.2941,25.2353,0.8824,1.8824,1.1176,0.5294
NYG,29.7647,29.5882,1.7059,3.0588,1.2353,1.2941
NYJ,28.0588,26.6471,1.5882,1.6471,0.8824,0.6471
PHI,27.4118,27.2353,1.4118,2.8824,1.5294,1.0
PIT,30.8235,23.2353,2.1765,2.7059,1.5294,0.9412
SEA,26.8824,28.8824,1.6471,2.7059,1.4706,1.1176
SF,32.5882,27.1765,2.6471,2.7059,1.9412,0.8824
TB,32.0588,27.2941,1.6471,1.8824,1.5294,0.7647
TEN,31.1765,21.8824,1.4118,1.5294,0.8824,0.5294
WAS,25.6471,27.9412,1.5882,3.2941,1.1176,1.1765
