team,week,gsis_id,slot
ARI,1,00-0035228,QB1
ARI,2,00-0035228,QB1
ARI,3,00-0035228,QB1
ARI,4,00-0035228,QB1
ARI,5,00-0035228,QB1
ARI,6,00-0035228,QB1
ARI,7,00-0035228,QB1
ARI,8,00-0035228,QB1
ARI,9,00-0035228,QB1
ARI,10,00-0035228,QB1
ARI,11,00-0035228,QB1
ARI,12,00-0035228,QB1
ARI,13,00-0035228,QB1
ARI,14,00-0035228,QB1
ARI,15,00-0035228,QB1
ARI,16,00-0035228,QB1
ARI,17,00-0035228,QB1
ARI,18,00-0035228,QB1
ARI,19,00-0035228,QB1
ATL,1,00-0029604,QB1
ATL,2,00-0029604,QB1
ATL,3,00-0029604,QB1
ATL,4,00-0029604,QB1
ATL,5,00-0029604,QB1
ATL,6,00-0029604,QB1
ATL,7,00-0029604,QB1
ATL,8,00-0029604,QB1
ATL,9,00-0029604,QB1
ATL,10,00-0029604,QB1
ATL,11,00-0029604,QB1
ATL,12,00-0029604,QB1
ATL,13,00-0029604,QB1
ATL,14,00-0029604,QB1
ATL,15,00-0029604,QB1
ATL,16,00-0029604,QB1
ATL,17,00-0029604,QB1
ATL,18,00-0039917,QB1
ATL,19,00-0039917,QB1
BAL,1,00-0034796,QB1
BAL,2,00-0034796,QB1
BAL,3,00-0034796,QB1
BAL,4,00-0034796,QB1
BAL,5,00-0034796,QB1
BAL,6,00-0034796,QB1
BAL,7,00-0034796,QB1
BAL,8,00-0034796,QB1
BAL,9,00-0034796,QB1
BAL,10,00-0034796,QB1
BAL,11,00-0034796,QB1
BAL,12,00-0034796,QB1
BAL,13,00-0034796,QB1
BAL,14,00-0034796,QB1
BAL,15,00-0034796,QB1
BAL,16,00-0034796,QB1
BAL,17,00-0034796,QB1
BAL,18,00-0034796,QB1
BAL,19,00-0034796,QB1
BAL,20,00-0034796,QB1
BAL,21,00-0034796,QB1
BUF,1,00-0034857,QB1
BUF,2,00-0034857,QB1
BUF,3,00-0034857,QB1
BUF,4,00-0034857,QB1
BUF,5,00-0034857,QB1
BUF,6,00-0034857,QB1
BUF,7,00-0034857,QB1
BUF,8,00-0034857,QB1
BUF,9,00-0034857,QB1
BUF,10,00-0034857,QB1
BUF,11,00-0034857,QB1
