name,team,rush_att,rush_yd,rush_td,rec,rec_yd,rec_td,fum_lost,fpts_page,snapshot,kind,url
Saquon Barkley,PHI,327.8,1649.3,10.8,43.5,332.5,2.2,1.4,273.4,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Bijan Robinson,ATL,304.1,1418.9,11.4,57.7,438.5,2.2,1.4,264.5,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Jahmyr Gibbs,DET,240.0,1240.0,11.7,57.7,507.0,2.8,1.3,258.7,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Derrick Henry,BAL,306.0,1553.4,13.7,16.4,153.7,0.9,1.4,255.6,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Christian McCaffrey,SF,240.4,1092.3,8.0,64.3,558.2,3.5,1.8,230.1,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Jonathan Taylor,IND,310.1,1411.7,10.6,28.6,205.1,1.3,1.6,230.1,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Josh Jacobs,GB,290.6,1232.5,11.4,37.9,315.9,1.5,1.5,229.2,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Ashton Jeanty,LV,272.8,1219.6,9.0,45.9,361.4,1.9,2.4,218.4,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Kyren Williams,LAR,284.2,1223.5,11.4,33.7,213.6,1.7,2.3,217.8,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
De'Von Achane,MIA,216.9,1010.4,7.6,68.7,506.0,3.9,1.3,217.7,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Bucky Irving,TB,244.1,1157.7,8.5,45.1,349.8,1.7,1.4,208.9,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Chase Brown,CIN,242.9,1026.4,8.3,55.0,385.9,2.7,1.4,204.4,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
James Cook,BUF,232.1,1087.7,9.7,31.4,258.9,1.9,1.4,201.6,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
James Conner,ARI,218.1,986.1,8.1,40.7,313.0,1.7,1.4,185.3,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Omarion Hampton,LAC,227.0,990.5,8.8,35.8,277.3,1.5,2.1,184.2,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Chuba Hubbard,CAR,246.3,1087.6,8.0,37.9,230.7,1.0,1.8,182.2,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Alvin Kamara,NO,222.5,923.7,5.3,62.4,470.0,2.0,1.3,180.5,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Breece Hall,NYJ,218.3,977.6,5.8,46.2,377.3,1.9,1.6,178.7,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Kenneth Walker III,SEA,232.4,944.9,7.9,42.4,301.2,1.2,1.3,176.9,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
David Montgomery,DET,199.1,836.9,9.0,31.4,257.8,0.9,1.0,166.7,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
D'Andre Swift,CHI,237.0,961.5,6.1,36.6,284.2,1.2,1.1,166.5,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
TreVeyon Henderson,NE,212.8,933.2,6.1,33.7,264.1,1.7,1.7,163.4,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Tony Pollard,TEN,233.3,979.8,5.5,40.0,257.5,0.9,1.0,160.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Aaron Jones Sr.,MIN,198.2,887.0,4.4,44.8,328.8,2.3,1.8,157.9,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
RJ Harvey,DEN,190.9,821.6,5.7,35.3,269.4,1.7,1.3,150.7,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Isiah Pacheco,KC,203.0,841.4,5.9,33.7,231.1,1.1,1.0,147.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Tyrone Tracy Jr.,NYG,192.7,828.9,5.4,36.1,268.1,1.1,1.6,145.1,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Kaleb Johnson,PIT,196.7,828.8,6.2,23.2,178.0,1.0,1.7,140.6,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Joe Mixon,HOU,169.2,655.2,5.8,27.4,219.2,1.3,0.9,128.5,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Jaylen Warren,PIT,149.6,668.3,3.6,47.5,347.2,1.1,1.1,127.6,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Jacory Croskey-Merritt,WAS,163.8,687.0,6.0,21.1,167.8,1.2,0.9,126.4,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Austin Ekeler,WAS,108.7,487.7,4.7,47.1,386.3,1.8,1.4,123.2,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Jordan Mason,MIN,163.6,753.7,4.6,16.9,123.5,0.7,0.7,117.9,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
J.K. Dobbins,DEN,147.1,653.5,4.8,29.5,189.3,1.2,1.2,117.8,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Quinshon Judkins,CLE,176.7,705.1,4.6,21.2,163.1,0.9,1.3,117.7,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Javonte Williams,DAL,167.8,644.0,4.4,34.4,220.2,0.9,0.6,117.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Zach Charbonnet,SEA,135.9,585.4,4.9,33.7,247.9,0.9,0.8,116.5,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Travis Etienne Jr.,JAC,147.5,597.0,3.9,38.4,284.9,1.2,0.9,116.5,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Rhamondre Stevenson,NE,154.2,625.0,4.9,27.3,173.9,1.1,1.5,112.9,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Tank Bigsby,JAC,160.7,654.4,5.2,12.0,87.0,0.2,1.2,104.1,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Nick Chubb,HOU,129.9,554.9,4.8,11.4,86.6,0.9,0.5,97.6,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Jerome Ford,CLE,127.6,534.4,3.0,30.0,205.5,1.0,0.8,96.2,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Rachaad White,TB,105.3,423.1,2.7,35.6,269.7,2.1,1.3,95.5,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Tyjae Spears,TEN,117.2,454.9,3.3,32.2,243.6,1.0,0.9,94.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Cam Skattebo,NYG,122.4,522.3,3.2,23.8,184.8,0.9,1.2,93.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
