name,team,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,fum_lost,fpts_page,snapshot,kind,url
CeeDee Lamb,DAL,116.0,1488.4,9.7,9.8,68.4,0.8,1.1,216.3,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Tyreek Hill,MIA,110.0,1544.6,9.9,5.2,30.5,0.1,1.0,215.8,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Ja'Marr Chase,CIN,106.5,1354.7,8.9,3.0,12.6,0.1,0.7,189.1,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Justin Jefferson,MIN,105.5,1447.5,7.4,1.2,3.8,0.0,1.0,187.9,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Amon-Ra St. Brown,DET,111.0,1351.1,8.2,4.5,31.3,0.1,0.9,186.1,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
A.J. Brown,PHI,92.9,1316.7,8.2,0.0,1.4,0.0,1.3,178.6,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Puka Nacua,LAR,94.7,1299.0,7.2,8.9,54.7,0.2,0.7,178.1,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Garrett Wilson,NYJ,95.2,1190.5,8.2,3.9,19.2,0.1,1.3,167.9,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Deebo Samuel Sr.,SF,66.9,924.7,5.9,35.8,208.4,3.1,1.0,165.0,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Mike Evans,TB,75.6,1121.4,8.4,0.0,1.2,0.0,0.5,161.7,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Nico Collins,HOU,78.5,1152.2,7.4,1.4,8.6,0.0,0.5,159.7,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Chris Olave,NO,89.9,1201.3,6.5,0.0,1.0,0.0,0.6,158.1,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Marvin Harrison Jr.,ARI,88.4,1175.1,6.8,0.5,3.6,0.0,1.5,155.6,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Brandon Aiyuk,SF,75.2,1130.7,7.2,0.8,4.0,0.0,0.9,155.2,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Drake London,ATL,87.9,1139.9,7.0,0.0,2.2,0.0,0.9,154.6,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
DK Metcalf,SEA,73.6,1065.8,8.1,0.0,1.2,0.0,0.5,154.2,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Davante Adams,NYJ,93.0,1128.8,6.5,0.0,1.0,0.0,0.5,151.0,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Cooper Kupp,LAR,85.9,1060.8,7.3,2.9,17.4,0.1,0.5,150.7,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
DeVonta Smith,PHI,84.8,1081.1,7.1,0.0,1.2,0.0,0.9,149.0,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Jaylen Waddle,MIA,81.8,1123.7,5.7,3.6,21.1,0.1,0.5,148.3,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
DJ Moore,CHI,76.1,1047.0,7.0,2.3,15.1,0.2,0.9,147.7,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Amari Cooper,BUF,72.9,1106.6,6.3,0.0,1.0,0.0,0.9,146.7,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Tee Higgins,CIN,71.6,1024.4,7.5,0.0,1.0,0.0,0.5,146.5,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
George Pickens,PIT,70.7,1089.2,6.0,2.6,16.9,0.0,0.9,145.2,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Tank Dell,HOU,70.0,954.6,7.0,11.1,61.6,0.2,0.6,143.2,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Stefon Diggs,HOU,85.1,1032.2,6.6,1.9,9.1,0.1,1.0,142.1,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Malik Nabers,NYG,81.2,1076.7,5.9,0.5,5.0,0.0,1.2,141.0,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Calvin Ridley,TEN,71.2,975.0,7.0,2.9,14.8,0.0,0.5,139.9,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Zay Flowers,BAL,79.4,964.6,6.2,7.4,46.3,0.6,1.0,139.7,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Rashee Rice,KC,80.7,959.8,7.1,1.5,7.0,0.0,1.0,137.6,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Michael Pittman Jr.,IND,96.7,1062.2,5.1,0.3,3.0,0.0,1.0,134.8,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Chris Godwin,TB,83.2,989.5,5.3,2.7,20.9,0.3,0.5,133.0,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Christian Kirk,JAC,80.9,1008.2,5.4,1.0,6.4,0.0,1.3,131.5,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Jayden Reed,GB,64.1,795.9,5.9,9.0,73.7,1.2,0.6,128.0,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Terry McLaurin,WAS,76.4,1009.9,4.6,0.3,2.2,0.0,0.5,127.9,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Diontae Johnson,BAL,72.8,906.0,5.8,1.0,7.2,0.0,0.6,124.8,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Christian Watson,GB,53.7,779.6,7.0,4.2,24.6,0.3,0.5,122.8,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Keenan Allen,CHI,79.7,895.0,5.6,1.0,6.3,0.0,1.0,122.0,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Xavier Worthy,KC,57.0,828.7,6.0,3.7,23.2,0.1,0.8,119.8,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Courtland Sutton,DEN,65.8,850.1,6.1,0.0,1.2,0.0,1.3,119.1,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
DeAndre Hopkins,KC,64.7,851.3,5.7,0.3,2.8,0.0,0.5,118.8,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Jordan Addison,MIN,64.9,833.8,5.9,0.3,4.0,0.0,0.5,117.8,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Rome Odunze,CHI,62.5,852.2,5.4,1.0,6.4,0.0,1.1,116.1,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
Jameson Williams,DET,55.2,775.5,4.8,4.5,42.2,0.7,0.6,113.9,20241216214250,post-kickoff static,https://www.fantasypros.com/nfl/projections/wr.php?week=draft
