name,team,rec,rec_yd,rec_td,fum_lost,fpts_page,snapshot,kind,url
Brenton Strange,JAC,9.7,92.1,1.0,0.0,15.2,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Cade Stover,HOU,10.0,105.8,0.8,0.0,15.2,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Erick All Jr.,CIN,10.3,103.0,0.8,0.0,15.0,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Cameron Latu,CLE,13.0,88.0,1.0,0.0,14.8,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Tip Reiman,ARI,10.2,99.1,0.8,0.0,14.7,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Lucas Krull,DEN,9.6,103.5,0.7,0.0,14.7,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Messiah Swinson,GB,9.0,85.0,1.0,0.0,14.5,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Dallin Holker,NO,9.3,95.4,0.8,0.0,14.1,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Payne Durham,TB,9.2,96.8,0.7,0.0,14.0,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Drew Sample,CIN,10.5,94.2,0.8,0.0,14.0,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
MyCole Pruitt,PIT,6.5,67.4,1.0,0.0,12.7,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Grant Calcaterra,PHI,8.5,85.7,0.7,0.0,12.6,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Luke Farrell,JAC,8.7,87.9,0.7,0.0,12.6,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Ross Dwelley,ATL,6.0,83.6,0.7,0.0,12.3,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Quintin Morris,BUF,6.2,65.5,0.9,0.0,11.8,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Peyton Hendershot,KC,7.7,77.3,0.6,0.0,11.6,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Harrison Bryant,LV,7.8,73.9,0.7,0.0,11.6,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Brenden Bates,NYJ,7.4,71.0,0.7,0.0,11.0,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
John Bates,WAS,8.6,80.6,0.4,0.0,10.6,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Hunter Long,LAR,6.4,64.7,0.7,0.0,10.4,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Marcedes Lewis,CHI,6.9,59.2,0.7,0.0,9.9,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Ben Sims,GB,5.6,49.5,0.8,0.0,9.9,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
John Stephens Jr.,DAL,6.2,63.9,0.5,0.0,9.4,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Charlie Kolar,BAL,5.8,63.5,0.4,0.0,8.8,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Ko Kieft,TB,4.8,46.1,0.6,0.0,8.4,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Brady Russell,SEA,5.0,48.5,0.6,0.0,8.4,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Nate Adkins,DEN,5.4,47.6,0.6,0.0,8.2,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Charlie Woerner,ATL,8.1,62.4,0.3,0.0,8.2,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Julian Hill,MIA,6.8,63.9,0.6,1.0,8.0,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Eric Saubert,SF,6.9,57.2,0.3,0.0,7.4,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Anthony Firkser,KC,4.4,41.4,0.3,0.0,6.0,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
C.J. Uzomah,PHI,6.0,58.0,0.0,0.0,5.8,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Josiah Deguara,JAC,5.0,51.0,0.0,0.0,5.1,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Nick Muse,MIN,3.7,35.7,0.3,0.0,5.0,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Chris Manhertz,NYG,5.4,46.8,0.1,0.0,5.0,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Kenny Yeboah,NYJ,2.9,28.6,0.2,0.0,4.2,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Teagan Quitoriano,HOU,2.0,22.3,0.2,0.0,3.3,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Stephen Carlson,CHI,2.0,19.3,0.2,0.0,3.0,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Jake Tonges,SF,1.8,17.3,0.2,0.0,2.8,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Mitchell Wilcox,NE,3.4,24.5,0.0,0.0,2.7,20241203114612,post-kickoff static,https://www.fantasypros.com/nfl/projections/te.php?week=draft
