name,team,pass_att,pass_cmp,pass_yd,pass_td,pass_int,rush_att,rush_yd,rush_td,fum_lost,fpts_page,snapshot,kind,url
Josh Allen,BUF,564.9,368.1,4062.4,27.7,14.0,108.7,558.7,8.9,4.0,360.5,20240905180205,preseason,https://www.fantasypros.com/nfl/projections/qb.php?week=draft
Jalen Hurts,PHI,520.2,339.4,3810.6,24.4,12.1,144.1,619.8,11.2,3.8,359.9,20240905180205,preseason,https://www.fantasypros.com/nfl/projections/qb.php?week=draft
Lamar Jackson,BAL,463.7,303.5,3567.9,25.0,10.6,146.0,836.0,5.4,4.4,339.2,20240905180205,preseason,https://www.fantasypros.com/nfl/projections/qb.php?week=draft
Patrick Mahomes II,KC,588.1,394.7,4391.7,32.7,11.2,72.0,376.5,1.8,3.1,337.7,20240905180205,preseason,https://www.fantasypros.com/nfl/projections/qb.php?week=draft
Anthony Richardson,IND,512.2,325.9,3506.3,20.0,11.4,128.1,648.3,7.9,5.0,311.0,20240905180205,preseason,https://www.fantasypros.com/nfl/projections/qb.php?week=draft
C.J. Stroud,HOU,557.0,362.6,4336.0,29.5,10.1,43.8,183.8,2.4,3.6,306.3,20240905180205,preseason,https://www.fantasypros.com/nfl/projections/qb.php?week=draft
Dak Prescott,DAL,572.5,385.0,4181.0,30.5,12.0,51.9,221.7,2.0,2.8,306.1,20240905180205,preseason,https://www.fantasypros.com/nfl/projections/qb.php?week=draft
Joe Burrow,CIN,580.3,389.0,4239.3,30.1,11.5,56.7,191.2,2.1,3.1,304.4,20240905180205,preseason,https://www.fantasypros.com/nfl/projections/qb.php?week=draft
Kyler Murray,ARI,530.8,353.8,3711.3,22.0,12.1,96.0,530.4,5.1,2.6,303.1,20240905180205,preseason,https://www.fantasypros.com/nfl/projections/qb.php?week=draft
Jordan Love,GB,545.5,354.8,3987.6,29.4,11.5,45.7,200.5,2.4,3.0,294.0,20240905180205,preseason,https://www.fantasypros.com/nfl/projections/qb.php?week=draft
Brock Purdy,SF,498.1,336.1,4075.2,29.6,10.8,44.1,162.0,1.9,2.6,293.0,20240905180205,preseason,https://www.fantasypros.com/nfl/projections/qb.php?week=draft
