name,team,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,fum_lost,fpts_page,snapshot,kind,url
Jauan Jennings,SF,67.8,892.6,5.2,3.6,15.7,0.1,0.6,121.8,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Travis Hunter,JAC,68.4,885.9,5.2,3.8,21.8,0.1,0.8,121.0,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Matthew Golden,GB,61.5,854.3,6.0,0.5,9.4,0.0,0.8,120.7,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Chris Godwin,TB,74.0,855.9,5.8,1.2,6.9,0.0,0.6,120.0,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Rome Odunze,CHI,65.6,880.2,5.3,1.3,8.0,0.0,0.9,119.1,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Chris Olave,NO,76.4,946.1,4.4,0.3,2.8,0.0,1.3,118.6,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Keon Coleman,BUF,52.4,822.7,6.1,0.3,3.8,0.0,0.5,118.3,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jordan Addison,MIN,60.9,799.7,6.0,1.2,11.2,0.3,0.4,117.7,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Stefon Diggs,NE,77.4,852.6,5.1,1.3,6.9,0.2,0.5,117.1,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Ricky Pearsall,SF,59.5,804.2,4.9,7.0,53.4,0.3,0.6,116.1,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Rashid Shaheed,NO,56.4,845.8,4.4,7.3,44.6,0.1,1.3,113.8,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Cooper Kupp,SEA,73.0,814.3,5.4,1.3,9.0,0.0,0.6,113.5,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Michael Pittman Jr.,IND,77.9,879.2,4.2,0.3,2.0,0.0,0.9,111.5,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Khalil Shakir,BUF,71.8,812.6,4.9,0.3,3.0,0.0,0.6,109.9,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Darnell Mooney,ATL,58.6,830.9,4.5,0.0,1.5,0.0,0.4,109.4,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Marvin Mims Jr.,DEN,51.1,696.1,5.4,11.9,49.4,0.1,0.6,106.5,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Josh Downs,IND,68.7,761.4,4.6,0.3,7.3,0.0,0.5,103.6,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Emeka Egbuka,TB,56.0,722.7,5.2,2.2,14.4,0.0,1.1,103.1,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Rashod Bateman,BAL,45.6,691.2,5.6,0.0,0.6,0.0,0.1,102.4,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Marquise Brown,KC,57.0,702.5,4.6,0.3,2.0,0.0,0.2,98.0,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Cedric Tillman,CLE,55.8,703.6,4.0,0.7,0.8,0.0,0.9,92.4,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Keenan Allen,LAC,55.6,640.3,4.8,0.3,2.0,0.0,0.6,91.8,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Adam Thielen,CAR,61.5,656.3,4.4,0.0,1.8,0.0,0.5,90.9,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Christian Kirk,HOU,52.9,683.7,3.7,0.7,4.0,0.0,0.8,89.0,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Xavier Legette,CAR,54.5,616.8,3.8,6.2,28.9,0.1,0.5,86.9,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jayden Higgins,HOU,48.0,638.4,3.8,0.7,4.0,0.0,0.4,86.2,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Romeo Doubs,GB,45.2,575.1,4.3,0.0,0.5,0.0,0.5,82.3,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Wan'Dale Robinson,NYG,69.4,625.4,3.1,2.0,15.6,0.0,0.5,81.9,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Joshua Palmer,BUF,42.0,588.0,3.5,0.0,0.5,0.0,0.1,79.8,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Brandon Aiyuk,SF,39.9,611.5,3.2,0.0,0.8,0.0,0.5,79.7,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Tyler Lockett,TEN,49.6,577.6,3.5,0.0,0.0,0.0,0.1,78.4,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Luther Burden III,CHI,45.7,554.0,3.3,3.7,27.4,0.4,1.1,77.6,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
DeMario Douglas,NE,55.7,588.8,2.9,2.1,15.9,0.0,0.2,77.4,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Michael Wilson,ARI,43.8,524.4,3.9,1.9,8.9,0.1,0.5,76.4,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Alec Pierce,IND,31.5,541.1,3.5,0.0,0.0,0.0,0.1,74.8,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Tre' Harris,LAC,40.8,544.4,3.4,0.7,3.8,0.0,0.7,74.0,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Calvin Austin III,PIT,39.6,528.0,3.4,2.3,11.8,0.1,0.5,73.6,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Quentin Johnston,LAC,34.9,457.8,4.1,1.7,7.2,0.0,0.4,70.7,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jack Bech,LV,43.4,539.3,2.8,1.0,4.3,0.0,0.7,69.6,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Brandin Cooks,NO,42.5,485.3,3.3,1.7,3.8,0.0,0.1,68.8,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Ray-Ray McCloud III,ATL,44.4,486.3,2.6,7.5,52.8,0.2,1.2,67.9,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Dyami Brown,JAC,39.2,501.4,2.8,0.7,6.8,0.0,0.5,66.7,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Josh Reynolds,NYJ,37.1,486.9,3.0,0.0,0.0,0.0,0.1,66.5,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Darius Slayton,NYG,34.1,513.3,2.4,1.4,6.1,0.0,0.2,66.3,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jalen Nailor,MIN,32.9,430.1,3.9,1.8,4.1,0.0,0.4,66.2,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Tutu Atwell,LAR,39.1,497.1,2.2,4.3,20.2,0.1,0.1,65.2,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
DeAndre Hopkins,BAL,32.0,416.4,3.9,0.0,0.5,0.0,0.1,65.0,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Nick Westbrook-Ikhine,MIA,31.4,427.4,3.7,0.0,1.3,0.0,0.1,64.7,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Kyle Williams,NE,35.5,454.5,2.7,2.1,13.3,0.0,0.4,62.1,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jalen Tolbert,DAL,34.5,403.2,3.5,0.0,0.0,0.0,0.1,61.2,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Skyy Moore,KC,36.4,444.9,2.7,0.0,0.0,0.0,0.0,60.7,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Tre Tucker,LV,29.9,383.7,2.2,5.6,31.5,0.3,0.1,56.7,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Andrei Iosivas,CIN,30.4,363.3,3.4,0.0,0.0,0.0,0.1,56.5,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jordan Whittington,LAR,34.1,397.7,2.4,1.1,13.9,0.0,0.1,55.6,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Marquez Valdes-Scantling,SEA,24.2,401.8,2.4,2.6,10.0,0.1,0.0,55.6,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Diontae Johnson,CLE,34.9,429.1,2.2,0.0,2.3,0.0,0.6,55.4,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Tory Horton,SEA,33.4,424.9,2.1,1.0,8.7,0.0,0.7,54.3,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jalen Coker,CAR,31.8,416.5,2.0,0.0,2.3,0.0,0.1,53.7,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Troy Franklin,DEN,28.2,358.0,2.8,1.1,5.8,0.0,0.1,53.1,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Dontayvion Wicks,GB,27.5,346.3,3.0,0.0,1.3,0.0,0.0,52.8,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Noah Brown,WAS,31.8,406.5,1.9,0.0,0.0,0.0,0.1,51.8,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Christian Watson,GB,19.9,366.6,2.3,4.3,17.0,0.0,0.4,51.6,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Adonai Mitchell,IND,28.7,364.3,2.3,2.3,10.7,0.1,0.2,51.4,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Dont'e Thornton Jr.,LV,28.0,369.5,2.1,0.0,2.0,0.0,0.1,49.8,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Kayshon Boutte,NE,26.8,359.3,2.3,0.0,0.0,0.0,0.1,49.3,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Elic Ayomanor,TEN,28.6,336.3,2.2,0.0,7.5,0.0,0.1,47.4,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
K.J. Osborn,WAS,28.7,318.6,2.5,0.0,0.0,0.0,0.0,46.8,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Russell Gage Jr.,SF,29.1,325.1,2.3,0.0,0.0,0.0,0.0,46.2,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Allen Lazard,NYJ,24.7,323.2,2.3,0.0,0.0,0.0,0.1,45.8,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Curtis Samuel,BUF,27.0,271.8,2.5,6.6,29.3,0.1,0.1,45.5,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jaylin Noel,HOU,25.5,304.3,2.2,0.0,13.0,0.0,0.1,44.7,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Anthony Miller,BAL,25.3,289.1,2.6,0.0,0.0,0.0,0.0,44.5,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jalen McMillan,TB,22.5,278.1,2.7,1.4,11.0,0.0,0.4,44.4,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Tai Felton,MIN,24.8,299.0,2.3,0.0,3.7,0.0,0.0,44.3,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Devaughn Vele,DEN,27.4,301.7,2.3,0.0,1.7,0.0,0.1,43.9,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Pat Bryant,DEN,25.6,308.9,2.1,0.0,0.0,0.0,0.1,43.3,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Greg Dortch,ARI,28.0,278.2,2.1,4.8,30.6,0.1,0.4,43.2,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Van Jefferson,TEN,23.5,300.5,1.9,0.0,0.0,0.0,0.1,41.0,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Roman Wilson,PIT,22.9,290.2,2.0,0.0,0.0,0.0,0.1,40.7,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Ja'Lynn Polk,NE,24.6,298.2,1.8,0.0,0.0,0.0,0.0,40.7,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Malik Washington,MIA,27.5,288.8,1.8,2.0,13.8,0.1,0.6,40.4,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Tim Patrick,DET,20.5,258.1,2.0,0.0,0.0,0.0,0.1,37.5,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
JuJu Smith-Schuster,KC,23.7,263.6,1.8,0.0,0.0,0.0,0.1,37.0,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
KaVontae Turpin,DAL,17.0,205.9,1.4,8.5,58.6,0.5,0.7,36.5,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Parker Washington,JAC,24.7,261.7,1.6,0.0,8.5,0.0,0.1,36.3,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Demarcus Robinson,SF,15.5,244.3,2.0,0.0,1.0,0.0,0.0,36.2,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jermaine Burton,CIN,18.1,239.7,2.0,0.0,2.0,0.0,0.1,35.7,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Tyler Johnson,NYJ,23.3,247.3,1.8,0.0,0.0,0.0,0.0,35.5,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Chimere Dike,TEN,18.9,246.0,1.6,2.1,8.9,0.0,0.1,35.1,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Luke McCaffrey,WAS,19.4,203.2,1.5,0.0,1.0,0.0,0.1,29.0,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
A.T. Perry,DEN,13.7,180.5,1.5,0.0,0.0,0.0,0.0,26.9,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Zay Jones,ARI,16.8,179.9,1.3,0.0,2.0,0.0,0.1,25.7,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Robert Woods,PIT,17.4,180.7,1.2,0.0,0.0,0.0,0.1,25.0,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Kalif Raymond,DET,14.7,185.7,1.2,0.0,4.0,0.0,0.6,24.9,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
KhaDarel Hodge,ATL,13.5,176.5,1.0,0.0,0.0,0.0,0.1,23.6,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Elijah Moore,BUF,14.5,159.6,1.2,0.0,1.3,0.0,0.0,23.4,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jalen Royals,KC,12.9,156.2,1.2,0.0,2.5,0.0,0.0,22.8,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jalin Hyatt,NYG,13.1,174.0,0.9,0.0,0.0,0.0,0.0,22.8,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Kendrick Bourne,NE,14.5,167.4,0.9,1.1,6.8,0.0,0.0,22.6,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
