name,team,rec,rec_yd,rec_td,fum_lost,fpts_page,snapshot,kind,url
Greg Dulcich,NYG,5.0,53.0,0.3,0.0,7.3,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Durham Smythe,CHI,5.4,45.7,0.4,0.0,6.7,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Robert Tonyan,KC,4.7,43.0,0.3,0.0,6.3,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Will Mallory,IND,3.5,34.8,0.3,0.0,5.2,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Mo Alie-Cox,IND,3.4,37.2,0.2,0.0,5.2,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Davis Allen,LAR,4.1,38.4,0.2,0.0,5.1,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Tip Reiman,ARI,4.4,43.0,0.1,0.0,5.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Irv Smith Jr.,HOU,4.0,33.8,0.3,0.0,5.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Dominique Dafney,CAR,3.6,35.4,0.2,0.0,4.6,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Kylen Granson,PHI,3.1,33.3,0.2,0.0,4.3,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Tucker Fisk,LAC,3.3,31.8,0.2,0.0,4.1,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Tanner Hudson,CIN,3.0,26.7,0.2,0.0,3.6,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Erick All Jr.,CIN,2.4,20.8,0.2,0.0,3.1,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Zach Davidson,BUF,1.9,19.1,0.2,0.0,2.9,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Jack Stoll,NO,2.5,23.7,0.0,0.0,2.6,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
David Martin-Robinson,TEN,1.9,18.6,0.1,0.0,2.6,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Feleipe Franks,ATL,1.8,17.7,0.1,0.0,2.5,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
James Mitchell,CAR,1.8,17.8,0.1,0.0,2.3,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Chris Manhertz,NYG,1.9,18.4,0.1,0.0,2.2,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Nick Vannett,MIN,1.0,10.0,0.0,0.0,1.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Harrison Bryant,HOU,0.5,5.5,0.0,0.0,0.6,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Tyree Jackson,WAS,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Stephen Carlson,CHI,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Donald Parham Jr.,PIT,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Josiah Deguara,ARI,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Dalton Keene,HOU,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Albert Okwuegbunam Jr.,LV,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Sean McKeon,IND,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Matt Sokol,BUF,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Brevin Jordan,HOU,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Shane Zylstra,DET,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Tyler Mabry,CAR,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Ko Kieft,TB,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Cole Turner,WAS,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
John FitzPatrick,GB,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Nick Muse,PHI,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Jake Tonges,SF,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Nikola Kalinic,ATL,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Cameron Latu,PHI,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Justin Shorter,LV,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Zack Kuntz,NYJ,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Ben Sims,GB,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Princeton Fant,DAL,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Cole Fotheringham,NE,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
John Stephens Jr.,DAL,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Colson Yankoff,WAS,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Thomas Odukoya,TEN,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
E.J. Jenkins,PHI,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Baylor Cupp,BAL,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Jack Westover,NE,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Thomas Fidone II,NYG,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Caleb Lohner,DEN,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Mitchell Wilcox,MIA,0.0,0.0,0.0,0.0,0.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
