name,team,rec,rec_yd,rec_td,fum_lost,fpts_page,snapshot,kind,url
Brock Bowers,LV,106.1,1129.3,6.1,0.5,149.4,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
George Kittle,SF,75.9,1030.0,7.5,0.5,146.8,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Trey McBride,ARI,104.4,1052.7,5.8,0.5,139.5,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Sam LaPorta,DET,67.9,761.4,6.8,0.4,116.1,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Mark Andrews,BAL,58.8,701.8,7.7,0.8,114.8,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Travis Kelce,KC,80.0,764.2,5.2,0.9,106.2,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
T.J. Hockenson,MIN,74.1,775.8,4.7,0.5,104.6,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
David Njoku,CLE,76.8,738.7,4.9,0.8,101.7,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Tyler Warren,IND,63.2,681.8,4.7,1.1,95.3,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Tucker Kraft,GB,55.2,652.7,4.8,0.8,92.5,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Kyle Pitts Sr.,ATL,50.9,641.7,4.2,0.1,89.2,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Dallas Goedert,PHI,57.1,632.8,3.9,0.5,85.8,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Zach Ertz,WAS,57.8,537.2,5.1,0.1,83.8,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Dalton Kincaid,BUF,57.1,604.3,4.0,0.5,83.7,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Evan Engram,DEN,69.1,615.1,4.0,0.9,83.5,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Jake Ferguson,DAL,67.9,622.9,3.8,1.2,82.7,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Hunter Henry,NE,55.0,574.8,3.9,0.4,79.8,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Colston Loveland,CHI,53.6,562.3,3.8,0.8,77.4,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Isaiah Likely,BAL,41.4,491.4,4.8,0.7,76.7,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Cade Otton,TB,52.0,530.2,4.0,0.5,76.2,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Brenton Strange,JAC,55.2,550.6,3.3,0.5,73.8,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Darren Waller,MIA,49.6,545.8,3.2,0.1,73.3,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Jonnu Smith,PIT,50.4,522.8,3.8,0.9,73.3,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Mike Gesicki,CIN,51.0,502.8,3.4,0.4,70.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Dalton Schultz,HOU,49.7,509.2,3.1,0.4,68.9,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Chig Okonkwo,TEN,52.9,528.1,2.9,0.8,68.8,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Juwan Johnson,NO,47.5,487.3,3.2,0.2,67.5,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Pat Freiermuth,PIT,49.9,480.5,3.3,0.9,66.2,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Tyler Higbee,LAR,45.3,424.9,3.7,0.1,64.3,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Robbie Ouzts,SEA,48.0,477.0,3.0,1.0,63.7,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Mason Taylor,NYJ,48.1,485.1,2.7,0.8,63.3,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Theo Johnson,NYG,43.1,472.3,2.7,0.1,63.2,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Elijah Arroyo,SEA,40.0,423.5,2.8,0.4,58.4,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Will Dissly,LAC,38.6,378.0,2.5,0.1,53.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Noah Fant,CIN,37.2,381.0,2.4,0.1,52.6,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Ja'Tavion Sanders,CAR,38.5,389.5,2.1,0.1,51.1,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Noah Gray,KC,30.0,305.6,2.7,0.0,46.7,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Tyler Conklin,LAC,33.5,325.7,2.3,0.0,46.2,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
AJ Barner,SEA,32.7,305.0,2.4,0.1,44.8,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Cole Kmet,CHI,30.2,291.0,2.3,0.4,41.9,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Foster Moreau,NO,22.3,251.9,1.8,0.1,36.1,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Austin Hooper,NE,26.6,264.3,1.7,0.4,35.7,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Dawson Knox,BUF,21.9,238.7,1.9,0.0,35.3,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Oronde Gadsden II,LAC,23.6,239.3,1.8,0.1,34.8,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Michael Mayer,LV,27.3,253.1,1.6,0.1,34.6,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Harold Fannin Jr.,CLE,26.5,260.8,1.5,0.4,34.2,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Terrance Ferguson,LAR,23.0,235.2,1.9,0.4,34.1,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Josh Oliver,MIN,19.4,203.0,1.6,0.1,30.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Tommy Tremble,CAR,19.2,184.1,1.7,0.4,27.7,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Luke Musgrave,GB,19.1,186.4,1.4,0.0,27.1,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Brock Wright,DET,15.0,134.8,2.2,0.0,26.4,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Gunnar Helm,TEN,20.2,200.8,1.1,0.4,26.1,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Ben Sinnott,WAS,16.8,166.8,1.4,0.1,24.9,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Cade Stover,HOU,16.9,160.5,1.2,0.0,23.3,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Jeremy Ruckert,NYJ,17.7,153.3,1.2,0.0,22.3,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Adam Trautman,DEN,12.6,137.0,1.4,0.0,21.8,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Charlie Woerner,ATL,14.6,139.0,1.1,0.0,20.3,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Luke Schoonmaker,DAL,14.9,132.7,1.2,0.0,20.2,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Jelani Woods,IND,8.0,137.0,1.0,0.0,19.7,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Grant Calcaterra,PHI,12.6,138.9,0.9,0.0,19.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Daniel Bellinger,NYG,14.9,139.8,0.8,0.0,18.9,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Payne Durham,TB,11.1,109.4,1.2,0.0,18.3,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Julian Hill,MIA,14.7,133.4,0.9,0.4,18.2,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Jake Briningstool,KC,12.0,121.0,1.0,0.0,18.1,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Elijah Higgins,ARI,11.4,110.3,1.1,0.0,17.4,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Josh Whyle,TEN,14.5,134.2,0.6,0.0,16.9,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Darnell Washington,PIT,12.3,123.3,0.7,0.0,16.6,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Johnny Mundt,JAC,13.4,115.2,0.8,0.0,16.5,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Connor Heyward,PIT,10.2,87.7,1.2,0.0,15.7,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Colby Parkinson,LAR,10.6,106.5,0.9,0.0,15.7,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Drew Ogletree,IND,7.6,97.0,0.8,0.0,14.7,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Taysom Hill,NO,2.3,22.3,0.0,0.0,13.2,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Drew Sample,CIN,10.4,82.9,0.8,0.0,12.8,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Pharaoh Brown,MIA,10.0,93.4,0.5,0.0,12.1,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Nate Adkins,DEN,7.0,54.8,1.1,0.0,12.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Teagan Quitoriano,ATL,5.5,89.0,0.5,0.0,11.9,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Lawrence Cager,WAS,5.5,57.0,1.0,0.0,11.7,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Gavin Bartholomew,MIN,7.0,75.0,0.6,0.0,11.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Brevyn Spann-Ford,DAL,7.3,69.7,0.6,0.0,10.7,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Lucas Krull,DEN,8.3,79.8,0.4,0.0,10.3,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Quintin Morris,JAC,7.9,71.5,0.5,0.0,10.3,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Devin Culp,TB,6.1,65.7,0.6,0.0,10.1,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Charlie Kolar,BAL,5.7,71.7,0.4,0.0,9.9,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Tanner McLachlan,CIN,7.0,68.5,0.5,0.0,9.9,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Hunter Long,JAC,8.4,76.0,0.4,0.0,9.8,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Giovanni Ricci,MIN,8.0,96.0,0.0,0.0,9.6,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Brenden Bates,CLE,6.5,61.6,0.5,0.0,9.4,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Jaheim Bell,NE,6.4,64.1,0.5,0.0,9.4,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
John Bates,WAS,5.9,54.9,0.6,0.0,9.3,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Tanner Conner,MIA,7.5,58.3,0.6,0.0,9.3,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Blake Whiteheart,CLE,6.5,59.3,0.6,0.0,9.2,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Kenny Yeboah,DET,6.0,60.5,0.5,0.0,9.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Luke Farrell,SF,6.8,64.9,0.4,0.0,9.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Eric Saubert,SEA,6.8,59.8,0.5,0.0,8.7,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Luke Lachey,HOU,5.5,56.0,0.5,0.0,8.6,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Travis Vokolek,ARI,5.5,55.0,0.5,0.0,8.5,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Brayden Willis,SF,4.5,54.0,0.5,0.0,8.4,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Ian Thomas,LV,6.6,58.6,0.4,0.0,8.2,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Mitchell Evans,CAR,6.3,59.4,0.4,0.0,8.2,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Stone Smartt,NYJ,5.5,66.7,0.4,0.3,8.2,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Cam Grandy,CIN,6.2,54.3,0.4,0.0,8.1,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Moliki Matavao,NO,5.0,51.0,0.5,0.0,8.1,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Jackson Hawes,BUF,5.3,56.8,0.4,0.0,8.0,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
Jared Wiley,KC,5.4,53.1,0.4,0.0,7.6,20250822010312,preseason,https://www.fantasypros.com/nfl/projections/te.php?week=draft
