name,team,rush_att,rush_yd,rush_td,rec,rec_yd,rec_td,fum_lost,fpts_page,snapshot,kind,url
DeeJay Dallas,ARI,2.5,28.0,0.0,3.5,24.0,0.0,0.0,5.2,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Nyheim Hines,CLE,1.3,17.1,0.0,4.5,32.3,0.0,0.0,5.1,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Reggie Gilliam,BUF,0.0,0.0,0.0,4.4,33.2,0.3,0.0,4.9,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Keilan Robinson,JAC,0.0,33.0,0.0,2.0,15.0,0.0,0.0,4.8,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Patrick Ricard,BAL,2.7,10.9,0.0,3.7,26.2,0.2,0.0,4.8,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Adam Prentice,NO,3.3,14.0,0.1,3.3,23.0,0.1,0.0,4.8,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Michael Burton,DEN,2.4,9.4,0.0,3.7,24.5,0.2,0.0,4.5,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Keaontay Ingram,KC,0.0,30.0,0.0,2.0,10.0,0.0,0.0,4.0,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Myles Gaskin,MIN,0.0,26.0,0.0,2.0,11.0,0.0,0.0,3.7,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
C.J. Ham,MIN,2.0,8.3,0.0,3.3,22.4,0.1,0.0,3.7,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Tyrion Davis-Price,PHI,0.0,17.0,0.0,1.0,3.0,0.0,0.0,2.0,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
